date,url,title
"January 14, 2022",https://www.fcc.gov/document/fcc-announces-telecommunications-interagency-working-group-0,FCC Announces the Telecommunications Interagency Working Group
"January 14, 2022",https://www.fcc.gov/document/fcc-announces-winning-bidders-345-ghz-auction,FCC Announces Winning Bidders In 3.45 GHz Auction
"January 13, 2022",https://www.fcc.gov/document/working-group-members-announced-fcc-diversity-council,Working Group Members Announced for FCC Diversity Council
"January 12, 2022",https://www.fcc.gov/document/chair-rosenworcel-circulates-new-data-breach-reporting-requirements,Chair Rosenworcel Circulates New Data Breach Reporting Requirements
"January 12, 2022",https://www.fcc.gov/document/carr-holds-official-meeting-taiwan-regulators,Carr Holds Official Meeting with Taiwan Regulators
"January 11, 2022",https://www.fcc.gov/document/fcc-chair-statement-senate-confirmation-ntia-administrator,FCC Chair Statement on Senate Confirmation of NTIA Administrator
"January 10, 2022",https://www.fcc.gov/document/fcc-commits-over-361m-additional-emergency-connectivity-funding,FCC Commits Over $361M in Additional Emergency Connectivity Funding
