date,label,title,url
"Monday, May 23, 2022",Report,"Adolescent isolation, ideology, and the missing voice of parents: A social listening analysis of Brazilian education",https://www.brookings.edu/research/adolescent-isolation-ideology-and-the-missing-voice-of-parents-a-social-listening-analysis-of-brazilian-education/
"Monday, May 23, 2022",Past Event,"Finland, Sweden, and the future of NATO",
"Tuesday, May 24, 2022",Order from Chaos,Mexican President López Obrador snubs the Summit of the Americas,https://www.brookings.edu/blog/order-from-chaos/2022/05/24/why-is-mexicos-president-snubbing-bidens-invitation-to-the-summit-of-the-americas/
"Monday, May 23, 2022",FixGov,Ratifying Kigali: Can the U.S. go the distance on a global climate treaty?,https://www.brookings.edu/blog/fixgov/2022/05/23/ratifying-kigali-can-the-u-s-go-the-distance-on-a-global-climate-treaty/
"Monday, May 23, 2022",Africa in Focus,An increased role for private sector: Mozambique’s new regulatory policy in the off-grid energy sector,https://www.brookings.edu/blog/africa-in-focus/2022/05/23/an-increased-role-for-private-sector-mozambiques-new-regulatory-policy-in-the-off-grid-energy-sector/
"Monday, May 23, 2022",TechTank,"Elon Musk, the Buffalo shooting, Texas, and Internet free speech",https://www.brookings.edu/blog/techtank/2022/05/23/elon-musk-the-buffalo-shooting-texas-and-internet-free-speech/
"Monday, May 23, 2022",Up Front,Did the pandemic advance new suburbanization?,https://www.brookings.edu/blog/up-front/2022/05/23/did-the-pandemic-advance-new-suburbanization/
"Monday, May 23, 2022",Future Development,Overlapping crises in the Western Balkans,https://www.brookings.edu/blog/future-development/2022/05/23/overlapping-crises-in-the-western-balkans/
"Tuesday, May 24, 2022",Education Plus Development,Problem to program to public policy: How outcomes-based financing strengthened England’s health system,https://www.brookings.edu/blog/education-plus-development/2022/05/24/problem-to-program-to-public-policy-how-outcomes-based-financing-strengthened-englands-health-system/
"Tuesday, May 24, 2022",Past Event,Who you know: The role of social capital in uplifting young Americans,
"Tuesday, May 24, 2022",Past Event,Prospects and challenges for Taiwan in the years ahead,
"Thursday, May 26, 2022",TechTank,Civil rights groups help put privacy legislation within reach,https://www.brookings.edu/blog/techtank/2022/05/26/civil-rights-groups-help-put-privacy-legislation-within-reach/
"Tuesday, May 24, 2022",Order from Chaos,Will Biden’s Asia trip help the US meet its strategic objectives?,https://www.brookings.edu/blog/order-from-chaos/2022/05/24/will-bidens-asia-trip-help-the-u-s-meet-its-strategic-objectives/
"Monday, May 23, 2022",U.S. Foreign Policy,Biden looks to “anchor” in region,https://www3.nhk.or.jp/nhkworld/en/news/videos/20220524091700366/
"Monday, May 23, 2022",Asia & the Pacific,参加のメリットは…？　発足間近のIPEF、課題を米専門家に聞いた,https://www.asahi.com/articles/ASQ5Q5KFCQ5QULFA007.html
