date,label,title,url
"Tuesday, April 12, 2022",Brown Center Chalkboard,Has federal crisis spending for K-12 schools served its intended objectives?,https://www.brookings.edu/blog/brown-center-chalkboard/2022/04/12/has-federal-crisis-spending-for-k-12-schools-served-its-intended-objectives/
"Tuesday, April 12, 2022",Upcoming Event,How America can get big things done: A conversation with Will Hurd,
"Tuesday, April 12, 2022",Report,Addressing youth unemployment through industries without smokestacks: A Zambia case study,https://www.brookings.edu/research/addressing-youth-unemployment-through-industries-without-smokestacks-a-zambia-case-study/
"Tuesday, April 12, 2022",Upcoming Event,Graduate workshop: Data-driven environmental economics research from the EPA,
"Tuesday, April 12, 2022",Order from Chaos,Ensuring a stronger US-Taiwan tech supply chain partnership,https://www.brookings.edu/blog/order-from-chaos/2022/04/12/ensuring-a-stronger-us-taiwan-tech-supply-chain-partnership/
"Tuesday, April 12, 2022",Op-Ed,The high stakes Indo-Pacific Economic Framework,https://www.eastasiaforum.org/2022/04/09/the-high-stakes-indo-pacific-economic-framework/
"Wednesday, April 13, 2022",Report,"The impacts of the 2021 expanded child tax credit on family employment, nutrition, and financial well-being",https://www.brookings.edu/research/the-impacts-of-the-2021-expanded-child-tax-credit-on-family-employment-nutrition-and-financial-well-being/
"Wednesday, April 13, 2022",Future Development,From fragility to resilience: Recommendations for implementing the US global fragility strategy,https://www.brookings.edu/blog/future-development/2022/04/13/from-fragility-to-resilience-recommendations-for-implementing-the-us-global-fragility-strategy/
"Wednesday, April 13, 2022",Order from Chaos,"As Biden administration’s defense budget and National Defense Strategy emerge, concerns abound",https://www.brookings.edu/blog/order-from-chaos/2022/04/13/as-biden-administrations-defense-budget-and-national-defense-strategy-emerge-concerns-abound/
"Thursday, April 14, 2022",Brown Center Chalkboard,Responsibility for the funding of college: Where does the public stand?,https://www.brookings.edu/blog/brown-center-chalkboard/2022/04/14/responsibility-for-the-funding-of-college-where-does-the-public-stand/
