Type,title,url,description
,ASPI Note: Understanding China's Sixth Plenum,https://asiasociety.org/policy-institute/aspi-note-understanding-chinas-sixth-plenum,What to know about the Chinese Communist Party's recent plenary event.
,China and the U.S. Agree To 'Enhance Ambition' on Climate. Here's What This Means,https://asiasociety.org/policy-institute/china-and-us-agree-enhance-ambition-climate-heres-what-means,"ASPI's Thom Woodroofe writes that while the agreement isn't a ""game changer,"" it still represents a step forward given the state of the U.S.-China relationship."
podcast,China’s Prospects for Joining the CPTPP,https://asiasociety.org/policy-institute/chinas-prospects-joining-cptpp,Wendy Cutler and Bonnie Glaser on the China Global podcast. 
podcast,Is the Future Regional?,https://asiasociety.org/policy-institute/future-regional,"Wendy Cutler with Rem Korteweg, Martin Sandbu, and James Crabtree on the AIG Global Trade Series podcast."
article,A Trade Pact Faces a Crucial Test as China and Taiwan Try to Join,https://asiasociety.org/policy-institute/trade-pact-faces-crucial-test-china-and-taiwan-try-join,Wendy Cutler writes in Barron's about China and Taiwan's intentions to join the Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP).
speech,Understanding Evergrande,https://asiasociety.org/policy-institute/understanding-evergrande,"Kevin Rudd's remarks on the implications of Evergrande for the Chinese and global economies, Xi Jinping’s political economy, and systemic financial risk."
interview,"Wendy Cutler on China, Taiwan, and the CPTPP",https://asiasociety.org/policy-institute/wendy-cutler-china-taiwan-and-cptpp,Wendy Cutler speaks with The Diplomat about next steps and broader implications of China and Taiwan's bids to join the Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP).
article,China Wants to Join the Trade Pact Once Designed to Counter It,https://asiasociety.org/policy-institute/china-wants-join-trade-pact-once-designed-counter-it,Wendy Cutler writes in Foreign Policy about China's bid to join the Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP).
article,America Must Return to the Trans-Pacific Partnership,https://asiasociety.org/policy-institute/america-must-return-trans-pacific-partnership,Wendy Cutler writes in Foreign Affairs about the need for the Biden Administration to re-engage with the Trans-Pacific Partnership.
speech,Xi Jinping's Pivot to the State,https://asiasociety.org/policy-institute/xi-jinpings-pivot-state,"Kevin Rudd's remarks on the impact of ideology, demography, and decoupling on China’s new economic policy framework"
speech,Kevin Rudd Remarks to a Chinese People's Institute of Foreign Affairs Virtual Seminar,https://asiasociety.org/policy-institute/kevin-rudd-remarks-chinese-peoples-institute-foreign-affairs-virtual-seminar,Kevin Rudd delivered remarks in mandarin to a virtual seminar hosted by the Chinese People's Institute of Foreign Affairs.
article,Ideological Competition With China Is Inevitable — Like It or Not,https://asiasociety.org/policy-institute/ideological-competition-china-inevitable-it-or-not-0,Nathan Levine writes in Foreign Policy about the inevitable ideological competition between China and the U.S.
article,Why the Quad Alarms China,https://asiasociety.org/policy-institute/why-quad-alarms-china,Kevin Rudd writes that the Quad's success poses a major threat to Beijing's ambitions.
interview,"China’s Carbon Market Launch: Foundations, First Impressions and Future",https://asiasociety.org/policy-institute/chinas-carbon-market-launch-foundations-first-impressions-and-future,"Jackson Ewing, Environmental Defense Fund's Xiaolu Zhao, and SinoCarbon's Zhibin Chen discuss what China's just-launched emissions trading scheme will mean for climate change."
video,The Biden Administration & U.S.-Australia Cooperation,https://asiasociety.org/policy-institute/biden-administration-us-australia-cooperation,"Wendy Cutler is interviewed by Gordon Flake on the Biden Administration's Indo-Pacific trade policy and areas for collaboration between U.S. and Australia, among other issues. "
,Kurt Campbell: U.S. and China Can Co-Exist Peacefully,https://asiasociety.org/policy-institute/kurt-campbell-us-and-china-can-co-exist-peacefully,"The White House coordinator for the Indo-Pacific described the ""enormously difficult"" Sino-American relationship in a conversation with Kevin Rudd, Wendy Cutler, and Daniel Russel."
