date,topic,title,url
"November 4, 2021",Trade and Development,Taking Control: the United States & Canada Respond to China’s Supply Chain Challenge,https://www.wilsoncenter.org/event/taking-control-united-states-canada-respond-chinas-supply-chain-challenge
,Global Alliances & Partnerships,Canada Shouldn't Tie its China policy to the U.S.,https://ipolitics.ca/2021/10/28/canada-shouldnt-tie-its-china-policy-to-the-u-s/
