date,label,title,url
"Thursday, April 21, 2022",Technology & Innovation,Superhuman science: How artificial intelligence may impact innovation,https://www.brookings.edu/research/superhuman-science-how-artificial-intelligence-may-impact-innovation/
"Thursday, April 21, 2022",TechTank,NFTs and Birkin bags: A Hermès lawsuit tests the limits of trademark rights,https://www.brookings.edu/blog/techtank/2022/04/21/nfts-and-birkin-bags-a-hermes-lawsuit-tests-the-limits-of-trademark-rights/
"Thursday, April 21, 2022",Post,Mapping gun violence: A closer look at the intersection between place and gun homicides in four cities,https://www.brookings.edu/2022/04/21/mapping-gun-violence-a-closer-look-at-the-intersection-between-place-and-gun-homicides-in-four-cities/
"Thursday, April 21, 2022",,"
					Nonresident Senior Fellow - ",https://www.brookings.edu/program/economic-studies/
"Wednesday, April 20, 2022",Up Front,Taxing capital income,https://www.brookings.edu/blog/up-front/2022/04/20/taxing-capital-income/
"Wednesday, April 20, 2022",Past Event,What comes after the IPCC’s sixth assessment report?,
"Wednesday, April 20, 2022",Higher Education,The shame deficit,https://www.theatlantic.com/ideas/archive/2022/04/ban-legacy-college-admissions-nepotism/629566/
"Thursday, April 21, 2022",Report,COVID-19’s impact on learning losses and learning inequality in Colombia,https://www.brookings.edu/research/covid-19s-impact-on-learning-losses-and-learning-inequality-in-colombia/
"Thursday, April 21, 2022",Past Event,Restoring trust in government through improved customer experience,
"Thursday, April 21, 2022",Past Event,Who will care for aging baby boomers? Immigrants.,
"Thursday, April 21, 2022",President's Corner,"
			",https://www.brookings.edu/president/listen-war-and-peace-in-ukraine-with-general-john-allen/
"Thursday, April 21, 2022",Past Event,How close is the US to universal broadband?,
"Monday, April 25, 2022",Brown Center Chalkboard,First-generation college students face unique challenges,https://www.brookings.edu/blog/brown-center-chalkboard/2022/04/25/first-generation-college-students-face-unique-challenges/
"Monday, April 25, 2022",Past Event,Climate change: Tackling a global challenge in Africa,
