date,label,title,url
"Wednesday, May 4, 2022",The Avenue,The public hearing process for new housing is broken. Here’s how to fix it.,https://www.brookings.edu/blog/the-avenue/2022/05/04/the-public-hearing-process-for-new-housing-is-broken-heres-how-to-fix-it/
"Wednesday, May 4, 2022",,"
					Nonresident Senior Fellow - ",https://www.brookings.edu/program/brookings-metro/
"Wednesday, May 4, 2022",,"
					Nonresident Senior Fellow - ",https://www.brookings.edu/program/global-economy-and-development/
"Wednesday, May 4, 2022",Up Front,Perspectives on the future of the global order,https://www.brookings.edu/blog/up-front/2022/05/04/perspectives-on-the-future-of-the-global-order/
"Thursday, May 5, 2022",Technology & Innovation,The nuanced relationship between cutting-edge technologies and jobs: Evidence from Germany,https://www.brookings.edu/research/the-nuanced-relationship-between-cutting-edge-technologies-and-jobs/
"Thursday, May 5, 2022",Past Event,Graduate workshop: Data-driven environmental economics research from the EPA,
