date,label,title,url
"Wednesday, August 11, 2021",Order from Chaos,Delta variant outbreak challenges Vietnam’s COVID-19 response strategy,https://www.brookings.edu/blog/order-from-chaos/2021/08/11/delta-variant-outbreak-challenges-vietnams-covid-19-response-strategy/
"Tuesday, August 10, 2021",Podcast Episode,Why crypto matters,https://www.thirteen.org/openmind/science/why-crypto-matters/7045/
"Tuesday, August 10, 2021",,17 Rooms-X,https://www.brookings.edu/17-room-x/
"Tuesday, August 10, 2021",Education Plus Development,What if teaching mirrored how human brains learn?,https://www.brookings.edu/blog/education-plus-development/2021/08/10/what-if-teaching-mirrored-how-human-brains-learn/
"Wednesday, August 11, 2021",The Avenue,July’s promising jobs report hides the challenges of left-behind communities,https://www.brookings.edu/blog/the-avenue/2021/08/10/julys-promising-jobs-report-hides-the-challenges-of-left-behind-communities/
"Wednesday, August 11, 2021",Podcast Episode,Sustainable Development Spotlight: Make progress on gender equality with more data transparency,https://soundcloud.com/brookings-institution/sustainable-development-spotlight-make-progress-on-gender-equality-with-more-data-transparency
