Type,title,url,description
article,ASPI Note: The U.S. Indo-Pacific Strategy,https://asiasociety.org/policy-institute/aspi-note-us-indo-pacific-strategy,What to know about the Biden administration's Indo-Pacific strategy.
article,What the Quad Means for Australian Business,https://asiasociety.org/policy-institute/what-quad-means-australian-business,Richard Maude writes for Financial Review about the Quad's implications for the Australian business sector.
article,ASPI Note: How to Understand the Quad - Key Points for Business,https://asiasociety.org/policy-institute/aspi-note-how-understand-quad-key-points-business,What to know about the Quad and its impact on the business sector.
report,Reflections on China and U.S.-China Relations in 2021,https://asiasociety.org/policy-institute/reflections-china-and-us-china-relations-2021,A compendium of 2021 speeches and essays by ASPI President Kevin Rudd on The Avoidable War.
article,ASPI Note: Understanding China’s Growing Support for Russia,https://asiasociety.org/policy-institute/aspi-note-understanding-chinas-growing-support-russia,What to know about the meeting of Presidents Xi Jinping and Vladimir Putin and the following joint statement.
article,Moving Forward at the WTO,https://asiasociety.org/policy-institute/moving-forward-wto,"Experts, including WTO Deputy Director-General Angela Ellard, discuss the way forward on critical trade issues following the postponement of the World Trade Organization 12th Ministerial Conference."
article,South Korea's Carbon Market a Model for the Rest of Asia,https://asiasociety.org/policy-institute/south-koreas-carbon-market-model-rest-asia,Alistair Ritchie writes in Nikkei Asia about the emissions trading systems in Asia.
article,Kevin Rudd Remarks on the Xi-Putin Meeting on the Sidelines of the Beijing Olympics,https://asiasociety.org/policy-institute/kevin-rudd-remarks-xi-putin-meeting-sidelines-beijing-olympics,Asia Society's president on why the meeting between the two leaders was so significant.
article,China’s Economic Downturn Gives Rise to a Winter of Discontent,https://asiasociety.org/policy-institute/chinas-economic-downturn-gives-rise-winter-discontent,Kevin Rudd writes in The Wall Street Journal about the economic and political outlook for China in 2022.
article,"Biden’s Asia Policy, One Year In",https://asiasociety.org/policy-institute/bidens-asia-policy-one-year,Danny Russel and Wendy Cutler write in The Diplomat about the Biden Administration’s policy towards Asia and the Indo-Pacific during its first year.
paper,China: An Economic and Political Outlook for 2022,https://asiasociety.org/policy-institute/china-economic-and-political-outlook-2022,ASPI President Kevin Rudd's policy paper provides an analysis of how China’s economic challenges are likely to shape its politics and policies in the year ahead.
speech,Wendy Cutler's House Testimony on Digital Economic Engagement in the Indo-Pacific,https://asiasociety.org/policy-institute/wendy-cutlers-house-testimony-digital-economic-engagement-indo-pacific,Cutler discusses the importance of a bold and impactful U.S. economic agenda for the Indo-Pacific region.
speech,"Kevin Rudd on the U.S., China, Economics, and Climate",https://asiasociety.org/policy-institute/kevin-rudd-us-china-economics-and-climate,Asia Society Policy Institute's President delivers remarks on the state of the world's most significant bilateral relationship.
report,The South China Sea: Realities and Responses in Southeast Asia,https://asiasociety.org/policy-institute/south-china-sea-realities-and-responses-southeast-asia,A compilation of essays that analyze the current state of the South China Sea dispute from five Southeast Asia-based contributors. 
article,The Needle Biden Must Thread: How To Compete in Asia Without a New Trade Deal,https://asiasociety.org/policy-institute/needle-biden-must-thread-how-compete-asia-without-new-trade-deal,Wendy Cutler writes in Barron's on the need for a strong economic component to Biden's Indo-Pacific Strategy.
article,ASPI Note: Understanding the Protests in the Solomon Islands,https://asiasociety.org/policy-institute/aspi-note-understanding-protests-solomon-islands,"What to know about the recent protests in Honiara, Solomon Islands."
