category,date,url,title
minority,6/10/21,http://www.hsgac.senate.gov/media/minority-media/portman-statement-at-hearing-to-consider-cybersecurity-and-government-services-nominees,Portman Statement At Hearing to Consider Cybersecurity and Government Services Nominees
minority,6/9/21,http://www.hsgac.senate.gov/media/minority-media/portman-statement-on-may-2021-cbp-operational-data-showing-increased-flow-of-illicit-narcotics,Portman Statement on May 2021 CBP Operational Data Showing Increased Flow of Illicit Narcotics
minority,6/9/21,http://www.hsgac.senate.gov/media/minority-media/senate-passes-portman-peters-bipartisan-legislation-to-create-significant-cyber-incident-declaration-for-major-cyberattacks,"Senate Passes Portman, Peters Bipartisan Legislation to Create Significant Cyber Incident Declaration for Major Cyberattacks"
majority,5/28/21,http://www.hsgac.senate.gov/media/majority-media/peters-and-portman-introduce-bipartisan-legislation-to-prevent-clawbacks-of-assistance-to-disaster-victims,Peters and Portman Introduce Bipartisan Legislation to Prevent Clawbacks of Assistance to Disaster Victims
majority,5/28/21,http://www.hsgac.senate.gov/media/majority-media/peters-statement-on-republican-senators-voting-to-block-january-6th-commission-,Peters Statement on Republican Senators Voting to Block January 6th Commission
minority,6/8/21,http://www.hsgac.senate.gov/media/minority-media/senate-passes-portman-murphy-graham-brown-stabenow-buy-american-bill-to-improve-transparency-and-support-us-manufacturing-jobs,"Senate Passes Portman, Murphy, Graham, Brown, Stabenow “Buy American” Bill to Improve Transparency & Support U.S. Manufacturing Jobs"
minority,6/8/21,http://www.hsgac.senate.gov/media/minority-media/portman-carper-rubio-applaud-senate-passage-of-bipartisan-safeguarding-american-innovation-act-to-stop-theft-of-us-research-and-intellectual-property-by-global-competitors,"Portman, Carper, Rubio Applaud Senate Passage of Bipartisan Safeguarding American Innovation Act to Stop Theft of U.S. Research & Intellectual Property by Global Competitors"
minority,6/8/21,http://www.hsgac.senate.gov/media/minority-media/senate-passes-portman-peters-bipartisan-make-ppe-in-america-act,"Senate Passes Portman, Peters Bipartisan Make PPE in America Act"
majority,5/27/21,http://www.hsgac.senate.gov/media/majority-media/peters-scott-reintroduce-bipartisan-legislation-to-help-protect-k-12-school-systems-from-cyber-attacks,"Peters, Scott Reintroduce Bipartisan Legislation to Help Protect K-12 School Systems from Cyber-Attacks"
majority,5/25/21,http://www.hsgac.senate.gov/media/majority-media/peters-meets-with-canadian-ambassador-to-the-united-states-to-discuss-safely-expanding-travel-at-northern-border-,Peters Meets with Canadian Ambassador to the United States to Discuss Safely Expanding Travel at Northern Border
minority,6/8/21,http://www.hsgac.senate.gov/media/minority-media/portman-presses-president-and-ceo-of-colonial-pipeline-on-gaps-in-cybersecurity-practices,Portman Presses President and CEO of Colonial Pipeline on Gaps in Cybersecurity Practices
minority,6/8/21,http://www.hsgac.senate.gov/media/minority-media/portman-we-need-to-reevaluate-how-we-defend-against-ransomware,Portman: We Need to Reevaluate How We Defend Against Ransomware
majority,5/19/21,http://www.hsgac.senate.gov/media/majority-media/peters-examines-harm-caused-by-shortages-of-us-medical-supplies-overreliance-on-foreign-producers-during-pandemic-,"Peters Examines Harm Caused by Shortages of U.S. Medical Supplies, Overreliance on Foreign Producers During Pandemic"
majority,5/19/21,http://www.hsgac.senate.gov/media/majority-media/peters-and-portman-introduce-bipartisan-bill-to-stabilize-usps-and-promote-long-term-sustainable-service,Peters and Portman Introduce Bipartisan Bill to Stabilize USPS and Promote Long-Term Sustainable Service
majority,5/18/21,http://www.hsgac.senate.gov/media/majority-media/peters-presses-experts-on-how-to-improve-dhs-intelligence-and-better-protect-communities-from-domestic-terrorism,Peters Presses Experts on How to Improve DHS Intelligence and Better Protect Communities from Domestic Terrorism
