name,text,date,pdf_link
H.R.3533 [117th]," - To establish occupational series for Federal positions in software development, software engineering, data science, and data management, and for other purposes.",Introduced in House (05/25/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3533/text/ih?overview=closed&format=txt
H.R.3535 [117th], - EAGLE Act of 2021,Introduced in House (05/25/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3535/text/ih?overview=closed&format=txt
H.R.3525 [117th], - Commission To Study the Potential Creation of a National Museum of Asian Pacific American History and Culture Act,Introduced in House (05/25/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3525/text/ih?overview=closed&format=txt
H.R.3526 [117th], - Gold Reserve Transparency Act of 2021,Introduced in House (05/25/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3526/text/ih?overview=closed&format=txt
H.R.3528 [117th], - Warren Cowles Grade Crossing Safety Act,Introduced in House (05/25/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3528/text/ih?overview=closed&format=txt
H.R.3529 [117th], - SCORE Act of 2021,Introduced in House (05/25/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3529/text/ih?overview=closed&format=txt
H.R.3530 [117th], - Illegal Immigration Penalty Enhancement Act of 2021,Introduced in House (05/25/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3530/text/ih?overview=closed&format=txt
H.R.3531 [117th], - Women Who Worked on the Home Front World War II Memorial Act,Introduced in House (05/25/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3531/text/ih?overview=closed&format=txt
H.R.3477 [117th]," - To authorize the posthumous honorary promotion to general of Lieutenant General Frank Maxwell Andrews, United States Army.",Introduced in House (05/25/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3477/text/ih?overview=closed&format=txt
H.R.3463 [117th], - Medical Supplies for Pandemics Act of 2021,Introduced in House (05/21/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3463/text/ih?overview=closed&format=txt
H.R.3465 [117th], - Iran China Accountability Act,Introduced in House (05/21/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3465/text/ih?overview=closed&format=txt
H.R.3464 [117th], - Zero-Baseline Budget Act of 2021,Introduced in House (05/21/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3464/text/ih?overview=closed&format=txt
H.R.3373 [117th], - Honoring OCEANIA Act,Introduced in House (05/20/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3373/text/ih?overview=closed&format=txt
H.R.3379 [117th], - Modernizing the Collegiate Student Athlete Experience Act,Introduced in House (05/20/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3379/text/ih?overview=closed&format=txt
H.R.3396 [117th], - Extinction Prevention Act of 2021,Introduced in House (05/20/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3396/text/ih?overview=closed&format=txt
H.R.3456 [117th], - HOPE for HOMES Act of 2021,Introduced in House (05/20/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3456/text/ih?overview=closed&format=txt
H.R.3435 [117th], - American Broadband Act,Introduced in House (05/20/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3435/text/ih?overview=closed&format=txt
H.R.3369 [117th], - Broadband for Rural America Act,Introduced in House (05/20/2021):,https://www.congress.gov/bill/117th-congress/house-bill/3369/text/ih?overview=closed&format=txt
