name,text,date,pdf_link
H.R.3525 [117th], - Commission To Study the Potential Creation of a National Museum of Asian Pacific American History and Culture Act,Introduced in House (05/25/2021):,https://www.congress.gov/117/bills/hr3525/BILLS-117hr3525ih.pdf
H.R.3526 [117th], - Gold Reserve Transparency Act of 2021,Introduced in House (05/25/2021):,https://www.congress.gov/117/bills/hr3526/BILLS-117hr3526ih.pdf
H.R.3528 [117th], - Warren Cowles Grade Crossing Safety Act,Introduced in House (05/25/2021):,https://www.congress.gov/117/bills/hr3528/BILLS-117hr3528ih.pdf
H.R.3529 [117th], - SCORE Act of 2021,Introduced in House (05/25/2021):,https://www.congress.gov/117/bills/hr3529/BILLS-117hr3529ih.pdf
H.R.3530 [117th], - Illegal Immigration Penalty Enhancement Act of 2021,Introduced in House (05/25/2021):,https://www.congress.gov/117/bills/hr3530/BILLS-117hr3530ih.pdf
H.R.3531 [117th], - Women Who Worked on the Home Front World War II Memorial Act,Introduced in House (05/25/2021):,https://www.congress.gov/117/bills/hr3531/BILLS-117hr3531ih.pdf
H.R.3477 [117th]," - To authorize the posthumous honorary promotion to general of Lieutenant General Frank Maxwell Andrews, United States Army.",Introduced in House (05/25/2021):,https://www.congress.gov/117/bills/hr3477/BILLS-117hr3477ih.pdf
H.R.3463 [117th], - Medical Supplies for Pandemics Act of 2021,Introduced in House (05/21/2021):,https://www.congress.gov/117/bills/hr3463/BILLS-117hr3463ih.pdf
H.R.3465 [117th], - Iran China Accountability Act,Introduced in House (05/21/2021):,https://www.congress.gov/117/bills/hr3465/BILLS-117hr3465ih.pdf
H.R.3464 [117th], - Zero-Baseline Budget Act of 2021,Introduced in House (05/21/2021):,https://www.congress.gov/117/bills/hr3464/BILLS-117hr3464ih.pdf
H.R.3373 [117th], - Honoring OCEANIA Act,Introduced in House (05/20/2021):,https://www.congress.gov/117/bills/hr3373/BILLS-117hr3373ih.pdf
H.R.3379 [117th], - Modernizing the Collegiate Student Athlete Experience Act,Introduced in House (05/20/2021):,https://www.congress.gov/117/bills/hr3379/BILLS-117hr3379ih.pdf
H.R.3396 [117th], - Extinction Prevention Act of 2021,Introduced in House (05/20/2021):,https://www.congress.gov/117/bills/hr3396/BILLS-117hr3396ih.pdf
H.R.3456 [117th], - HOPE for HOMES Act of 2021,Introduced in House (05/20/2021):,https://www.congress.gov/117/bills/hr3456/BILLS-117hr3456ih.pdf
H.R.3435 [117th], - American Broadband Act,Introduced in House (05/20/2021):,https://www.congress.gov/117/bills/hr3435/BILLS-117hr3435ih.pdf
H.R.3369 [117th], - Broadband for Rural America Act,Introduced in House (05/20/2021):,https://www.congress.gov/117/bills/hr3369/BILLS-117hr3369ih.pdf
