name,text,date,pdf_link
,,,https://www.congress.gov/bill-texts-received-today
S.2312 [117th]," - Making emergency supplemental appropriations for the fiscal year ending September 30, 2021, and for other purposes.",Introduced in Senate (07/12/2021):,https://www.congress.gov/117/bills/s2312/BILLS-117s2312is.pdf
S.Res.297 [117th]," - Recognizing and commemorating Native Hawaiian Delegate Jonah Kūhiō Kalaniana‘ole’s lifelong advocacy on behalf of Hawai‘i and the Native Hawaiian people on the 100th anniversary of his paramount congressional achievement—the Hawaiian Homes Commission Act, 1920.",Introduced in Senate (07/12/2021):,https://www.congress.gov/117/bills/sres297/BILLS-117sres297is.pdf
H.R.4181 [117th], - Stop Inflationary Spending Act,Introduced in House (06/25/2021):,https://www.congress.gov/117/bills/hr4181/BILLS-117hr4181ih.pdf
S.2242 [117th], - Therapeutic Fraud Prevention Act of 2021,Introduced in Senate (06/24/2021):,https://www.congress.gov/117/bills/s2242/BILLS-117s2242is.pdf
S.2250 [117th], - To extend concealed carry rights to Federal judges and prosecutors.,Introduced in Senate (06/24/2021):,https://www.congress.gov/117/bills/s2250/BILLS-117s2250is.pdf
S.2252 [117th], - To increase the penalties for ambushing a law enforcement officer.,Introduced in Senate (06/24/2021):,https://www.congress.gov/117/bills/s2252/BILLS-117s2252is.pdf
H.R.3966 [117th]," - To prohibit the United States from rejoining the Joint Comprehensive Plan of Action (JCPOA) until the President makes certain certifications, and for other purposes.",Introduced in House (06/17/2021):,https://www.congress.gov/117/bills/hr3966/BILLS-117hr3966ih.pdf
H.R.3965 [117th], - Standing Against Houthi Aggression Act,Introduced in House (06/17/2021):,https://www.congress.gov/117/bills/hr3965/BILLS-117hr3965ih.pdf
H.R.3939 [117th], - Agriculture Environmental Stewardship Act of 2021,Introduced in House (06/16/2021):,https://www.congress.gov/117/bills/hr3939/BILLS-117hr3939ih.pdf
H.R.3938 [117th], - Support UNFPA Funding Act,Introduced in House (06/16/2021):,https://www.congress.gov/117/bills/hr3938/BILLS-117hr3938ih.pdf
H.R.3937 [117th], - Ending Critical Race Theory in D.C. Public Schools Act,Introduced in House (06/16/2021):,https://www.congress.gov/117/bills/hr3937/BILLS-117hr3937ih.pdf
H.R.3936 [117th], - Military Perimeter Transparency Act,Introduced in House (06/16/2021):,https://www.congress.gov/117/bills/hr3936/BILLS-117hr3936ih.pdf
H.R.3940 [117th], - Local Journalism Sustainability Act,Introduced in House (06/16/2021):,https://www.congress.gov/117/bills/hr3940/BILLS-117hr3940ih.pdf
H.R.3935 [117th], - Promoting Agricultural Commerce Act,Introduced in House (06/16/2021):,https://www.congress.gov/117/bills/hr3935/BILLS-117hr3935ih.pdf
H.R.3942 [117th], - Brandon Act,Introduced in House (06/16/2021):,https://www.congress.gov/117/bills/hr3942/BILLS-117hr3942ih.pdf
H.R.3941 [117th], - Segal AmeriCorps Education Award Tax Relief Act of 2021,Introduced in House (06/16/2021):,https://www.congress.gov/117/bills/hr3941/BILLS-117hr3941ih.pdf
H.R.3934 [117th], - Taiwan Defense Act of 2021,Introduced in House (06/16/2021):,https://www.congress.gov/117/bills/hr3934/BILLS-117hr3934ih.pdf
H.R.3804 [117th], - Major Medical Facility Authorization Act of 2021,Introduced in House (06/11/2021):,https://www.congress.gov/117/bills/hr3804/BILLS-117hr3804ih.pdf
H.R.3754 [117th], - Military Education and Values Act,Introduced in House (06/08/2021):,https://www.congress.gov/117/bills/hr3754/BILLS-117hr3754ih.pdf
H.R.3758 [117th], - Fishing Equipment Tax Relief Act of 2021,Introduced in House (06/08/2021):,https://www.congress.gov/117/bills/hr3758/BILLS-117hr3758ih.pdf
H.R.3748 [117th], - BLUE GLOBE Act,Introduced in House (06/08/2021):,https://www.congress.gov/117/bills/hr3748/BILLS-117hr3748ih.pdf
H.R.3759 [117th], - Physical Therapist Workforce and Patient Access Act of 2021,Introduced in House (06/08/2021):,https://www.congress.gov/117/bills/hr3759/BILLS-117hr3759ih.pdf
H.R.3751 [117th], - Clean Water Infrastructure Resilience and Sustainability Act of 2021,Introduced in House (06/08/2021):,https://www.congress.gov/117/bills/hr3751/BILLS-117hr3751ih.pdf
H.R.3756 [117th], - Department of Homeland Security Climate Change Research Act,Introduced in House (06/08/2021):,https://www.congress.gov/117/bills/hr3756/BILLS-117hr3756ih.pdf
H.R.3750 [117th], - Equity in Transit Service Planning Act,Introduced in House (06/08/2021):,https://www.congress.gov/117/bills/hr3750/BILLS-117hr3750ih.pdf
H.R.3749 [117th], - Katherine’s Law for Lung Cancer Early Detection and Survival Act of 2021,Introduced in House (06/08/2021):,https://www.congress.gov/117/bills/hr3749/BILLS-117hr3749ih.pdf
H.R.3747 [117th], - Securing American Research from Cyber Theft Act,Introduced in House (06/08/2021):,https://www.congress.gov/117/bills/hr3747/BILLS-117hr3747ih.pdf
H.R.3746 [117th], - Accountable Care in Rural America Act,Introduced in House (06/08/2021):,https://www.congress.gov/117/bills/hr3746/BILLS-117hr3746ih.pdf
H.R.3745 [117th], - Decentralized Wastewater Grant Act of 2021,Introduced in House (06/08/2021):,https://www.congress.gov/117/bills/hr3745/BILLS-117hr3745ih.pdf
H.R.3753 [117th], - Parity Implementation Assistance Act,Introduced in House (06/08/2021):,https://www.congress.gov/117/bills/hr3753/BILLS-117hr3753ih.pdf
H.R.3755 [117th], - Women’s Health Protection Act of 2021,Introduced in House (06/08/2021):,https://www.congress.gov/117/bills/hr3755/BILLS-117hr3755ih.pdf
H.R.3802 [117th], - To make permanent the authority of the Secretary of Veterans Affairs to make grants for the transportation of highly rural veterans to medical care.,Introduced in House (06/08/2021):,https://www.congress.gov/117/bills/hr3802/BILLS-117hr3802ih.pdf
H.R.3757 [117th], - Multiple Substance Impaired Driving Prevention Act of 2021,Introduced in House (06/08/2021):,https://www.congress.gov/117/bills/hr3757/BILLS-117hr3757ih.pdf
H.R.3801 [117th], - SHIELD Act,Introduced in House (06/08/2021):,https://www.congress.gov/117/bills/hr3801/BILLS-117hr3801ih.pdf
H.R.3706 [117th], - Emergency Resupply for IRON DOME Act of 2021,Introduced in House (06/04/2021):,https://www.congress.gov/117/bills/hr3706/BILLS-117hr3706ih.pdf
H.R.3700 [117th], - Clean Water for Rural America Act,Introduced in House (06/04/2021):,https://www.congress.gov/117/bills/hr3700/BILLS-117hr3700ih.pdf
H.R.3719 [117th]," - To amend the Continuing Appropriations Act, 2021 and Other Extensions Act to limit financial assistance provided to State-owned enterprises, and for other purposes.",Introduced in House (06/04/2021):,https://www.congress.gov/117/bills/hr3719/BILLS-117hr3719ih.pdf
H.R.3708 [117th], - Advancing Tech Startups Act,Introduced in House (06/04/2021):,https://www.congress.gov/117/bills/hr3708/BILLS-117hr3708ih.pdf
H.R.3705 [117th]," - To amend the Federal Food, Drug, and Cosmetic Act to include a safe harbor for communication of information with respect to a vaccine authorized for emergency use under such Act that is provided or distributed to a health care provider, and for other purposes.",Introduced in House (06/04/2021):,https://www.congress.gov/117/bills/hr3705/BILLS-117hr3705ih.pdf
H.R.3693 [117th], - VA CPE Modernization Act,Introduced in House (06/04/2021):,https://www.congress.gov/117/bills/hr3693/BILLS-117hr3693ih.pdf
H.R.3698 [117th], - D-BLOC Act,Introduced in House (06/04/2021):,https://www.congress.gov/117/bills/hr3698/BILLS-117hr3698ih.pdf
H.R.3703 [117th], - Nationwide Dig Once Act of 2021,Introduced in House (06/04/2021):,https://www.congress.gov/117/bills/hr3703/BILLS-117hr3703ih.pdf
H.R.3702 [117th]," - Sport Fish Restoration, Recreational Boating Safety, and Wildlife Restoration Act of 2021",Introduced in House (06/04/2021):,https://www.congress.gov/117/bills/hr3702/BILLS-117hr3702ih.pdf
H.R.3704 [117th], - Children Have Opportunities in Classrooms Everywhere Act,Introduced in House (06/04/2021):,https://www.congress.gov/117/bills/hr3704/BILLS-117hr3704ih.pdf
H.R.3707 [117th], - No Trace Act of 2021,Introduced in House (06/04/2021):,https://www.congress.gov/117/bills/hr3707/BILLS-117hr3707ih.pdf
H.R.3692 [117th], - Marine Mammal Climate Change Protection Act,Introduced in House (06/04/2021):,https://www.congress.gov/117/bills/hr3692/BILLS-117hr3692ih.pdf
H.R.3701 [117th], - PIPE Act,Introduced in House (06/04/2021):,https://www.congress.gov/117/bills/hr3701/BILLS-117hr3701ih.pdf
H.R.3680 [117th], - Promoting Affordable Housing Near Transit Act,Introduced in House (06/01/2021):,https://www.congress.gov/117/bills/hr3680/BILLS-117hr3680ih.pdf
H.R.3683 [117th], - Securing America’s Pharmaceutical Supply Chain Act,Introduced in House (06/01/2021):,https://www.congress.gov/117/bills/hr3683/BILLS-117hr3683ih.pdf
H.R.3593 [117th], - Department of Energy Science for the Future Act,Referred in Senate (07/12/2021):,https://www.congress.gov/117/bills/hr3593/BILLS-117hr3593rfs.pdf
