name,text,date,pdf_link
,,,https://www.congress.gov/bill-texts-received-today
H.Con.Res.80 [117th], - Commending the heroism of Olathe East High School Administrator Dr. Kaleb Stoppel and School Resource Officer Erik Clark in responding to a student armed with a firearm.,Introduced in House (03/09/2022):,https://www.congress.gov/117/bills/hconres80/BILLS-117hconres80ih.pdf
H.Res.975 [117th], - Expressing the mental health impacts of recurrent climate-related disasters on youth.,Introduced in House (03/09/2022):,https://www.congress.gov/117/bills/hres975/BILLS-117hres975ih.pdf
H.Res.974 [117th], - Supporting the goals and ideals of National Women and Girls HIV/AIDS Awareness Day.,Introduced in House (03/09/2022):,https://www.congress.gov/117/bills/hres974/BILLS-117hres974ih.pdf
H.R.7007 [117th]," - COVID Supplemental Appropriations Act, 2022",Introduced in House (03/09/2022):,https://www.congress.gov/117/bills/hr7007/BILLS-117hr7007ih.pdf
H.Res.972 [117th]," - Providing for consideration of Senate amendment to the bill (H.R. 2471) to measure the progress of post-disaster recovery and efforts to address corruption, governance, rule of law, and media freedoms in Haiti; providing for consideration of the joint resolution (H.J. R",Reported in House (03/09/2022):,https://www.congress.gov/117/bills/hres972/BILLS-117hres972rh.pdf
H.Res.973 [117th]," - Providing for consideration of Senate amendment to the bill (H.R. 2471) to measure the progress of post-disaster recovery and efforts to address corruption, governance, rule of law, and media freedoms in Haiti; providing for consideration of the joint resolution (H.J. R",Reported in House (03/09/2022):,https://www.congress.gov/117/bills/hres973/BILLS-117hres973rh.pdf
H.R.6989 [117th], - Housing for All Act of 2022,Introduced in House (03/08/2022):,https://www.congress.gov/117/bills/hr6989/BILLS-117hr6989ih.pdf
H.R.6993 [117th], - Stopping Pakistani Terror Act,Introduced in House (03/08/2022):,https://www.congress.gov/117/bills/hr6993/BILLS-117hr6993ih.pdf
H.R.6967 [117th], - Chance to Compete Act of 2022,Introduced in House (03/08/2022):,https://www.congress.gov/117/bills/hr6967/BILLS-117hr6967ih.pdf
H.R.6951 [117th], - Ban Russian Energy Imports Act,Introduced in House (03/07/2022):,https://www.congress.gov/117/bills/hr6951/BILLS-117hr6951ih.pdf
