date,type,title,sponsor,committees,latest_action,tracker,url
04/13/2022,LAW,A bill to obtain and direct the placement in the Capitol or on the Capitol Grounds of a statue to honor Associate Justice of the Supreme Court of the United States Sandra Day O'Connor and a statue to honor Associate Justice of the Supreme Court of the United States Ruth Bader Ginsburg.,"Sen. Klobuchar, Amy [D-MN]", Senate - Rules and Administration        ,,Became Law,https://www.congress.gov/bill/117th-congress/senate-bill/3294?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-04-13%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-04-13%5C%22%22%5D%7D&s=1&r=1
04/15/2022,BILL,I–70 Detour Act,"Rep. Boebert, Lauren [R-CO-3]", House - Transportation and Infrastructure; Rules        ,House - 04/15/2022 Referred to the Subcommittee on Highways and Transit. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/7501?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-04-15%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-04-15%5C%22%22%5D%7D&s=1&r=1
04/15/2022,BILL,"To direct the Corps of Engineers to develop a comprehensive plan for Lake Okeechobee and northern estuaries ecosystem restoration, and for other purposes.","Rep. Mast, Brian J. [R-FL-18]", House - Transportation and Infrastructure        ,House - 04/15/2022 Referred to the Subcommittee on Water Resources and Environment. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/7520?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-04-15%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-04-15%5C%22%22%5D%7D&s=1&r=2
04/15/2022,BILL,Helicopter Passenger Protection Act,"Rep. Neguse, Joe [D-CO-2]", House - Ways and Means; Transportation and Infrastructure        ,House - 04/15/2022 Referred to the Subcommittee on Aviation. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/7521?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-04-15%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-04-15%5C%22%22%5D%7D&s=1&r=3
04/18/2022,BILL,"To expand the section 203(k) rehabilitation and title I property improvement loan programs of the Department of Housing and Urban Development to authorize such loans to be made to low-income families residing in condominium units to cover the costs of special assessments imposed for repair or replacement of common areas, systems, and features, and for other purposes.","Rep. Crist, Charlie [D-FL-13]", House - Financial Services        ,House - 04/18/2022 Referred to the House Committee on Financial Services. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/7532?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-04-18%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-04-18%5C%22%22%5D%7D&s=1&r=1
04/18/2022,BILL,"To amend the Victims of Crime Act of 1984 to provide that recipients of crime victim assistance grants shall prioritize programs that provide assistance to victims of firearm violence or the family members of victims of homicide, and for other purposes.","Rep. Escobar, Veronica [D-TX-16]", House - Judiciary        ,House - 04/18/2022 Referred to the House Committee on the Judiciary. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/7533?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-04-18%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-04-18%5C%22%22%5D%7D&s=1&r=2
04/18/2022,BILL,"To require the Secretary of Housing and Urban Development to establish an excess urban heat mitigation grant program, and for other purposes.","Rep. Gallego, Ruben [D-AZ-7]", House - Financial Services        ,House - 04/18/2022 Referred to the House Committee on Financial Services. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/7534?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-04-18%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-04-18%5C%22%22%5D%7D&s=1&r=3
04/18/2022,BILL,"To encourage the migration of Federal Government information technology systems to quantum-resistant cryptography, and for other purposes.","Rep. Khanna, Ro [D-CA-17]", House - Oversight and Reform        ,House - 04/18/2022 Referred to the House Committee on Oversight and Reform. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/7535?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-04-18%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-04-18%5C%22%22%5D%7D&s=1&r=4
04/18/2022,BILL,Civic Duty to Vote Act,"Rep. Larson, John B. [D-CT-1]", House - House Administration        ,House - 04/18/2022 Referred to the House Committee on House Administration. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/7536?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-04-18%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-04-18%5C%22%22%5D%7D&s=1&r=5
04/18/2022,BILL,Help for Healing Communities Act,"Rep. McBath, Lucy [D-GA-6]", House - Energy and Commerce        ,House - 04/18/2022 Referred to the House Committee on Energy and Commerce. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/7537?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-04-18%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-04-18%5C%22%22%5D%7D&s=1&r=6
