date,type,title,sponsor,committees,latest_action,tracker,url
12/18/2021,BILL,Puerto Rico Recovery Accuracy in Disclosures Act of 2021,"Rep. Velazquez, Nydia M. [D-NY-7]", House - Judiciary | Senate - Energy and Natural Resources        ,Senate - 12/18/2021 Passed Senate with an amendment by Unanimous Consent. (consideration: CR ,Passed Senate,https://www.congress.gov/bill/117th-congress/house-bill/1192?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-12-18%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-12-18%5C%22%22%5D%7D&s=1&r=1
12/18/2021,BILL,"To authorize the National Medal of Honor Museum Foundation to establish a commemorative work in the District of Columbia and its environs, and for other purposes.","Rep. Veasey, Marc A. [D-TX-33]", House - Natural Resources | Senate - Energy and Natural Resources        ,Senate - 12/18/2021 Passed Senate without amendment by Unanimous Consent. (consideration: CR ,Passed Senate,https://www.congress.gov/bill/117th-congress/house-bill/1664?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-12-18%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-12-18%5C%22%22%5D%7D&s=1&r=2
12/18/2021,BILL,"A bill to designate the community-based outpatient clinic of the Department of Veterans Affairs planned to be built in Oahu, Hawaii, as the ""Daniel Kahikina Akaka Department of Veterans Affairs Community-Based Outpatient Clinic"".","Sen. Hirono, Mazie K. [D-HI]", Senate - Veterans' Affairs        ,Senate - 12/18/2021 Passed Senate without amendment by Unanimous Consent. (text: CR ,Passed Senate,https://www.congress.gov/bill/117th-congress/senate-bill/1760?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-12-18%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-12-18%5C%22%22%5D%7D&s=1&r=3
12/16/2021,BILL,"To designate the facility of the United States Postal Service located at 40 Fulton Street in Middletown, New York, as the ""Benjamin A. Gilman Post Office Building"".","Rep. Maloney, Sean Patrick [D-NY-18]", House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs        ,Senate - 12/16/2021 Placed on Senate Legislative Calendar under General Orders. Calendar No. 185. (,Passed House,https://www.congress.gov/bill/117th-congress/house-bill/767?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-12-16%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-12-16%5C%22%22%5D%7D&s=1&r=1
12/18/2021,BILL,"A bill to rename the Provo Veterans Center in Orem, Utah, as the ""Col. Gail S. Halvorsen 'Candy Bomber' Veterans Center"".","Sen. Lee, Mike [R-UT]", Senate - Veterans' Affairs        ,Senate - 12/18/2021 Passed Senate without amendment by Unanimous Consent. (consideration: CR ,Passed Senate,https://www.congress.gov/bill/117th-congress/senate-bill/2514?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-12-18%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-12-18%5C%22%22%5D%7D&s=1&r=4
12/18/2021,BILL,Artificial Intelligence Training for the Acquisition Workforce Act,"Sen. Peters, Gary C. [D-MI]", Senate - Homeland Security and Governmental Affairs        ,Senate - 12/18/2021 Passed Senate with an amendment by Unanimous Consent. (,Passed Senate,https://www.congress.gov/bill/117th-congress/senate-bill/2551?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-12-18%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-12-18%5C%22%22%5D%7D&s=1&r=5
12/18/2021,BILL,"A bill to require the imposition of sanctions with respect to entities responsible for the planning, construction, or operation of the Nord Stream 2 pipeline and their corporate officers and to apply congressional review under the Countering America's Adversaries Through Sanctions Act to the removal of sanctions relating to Nord Stream 2, and for other purposes.","Sen. Cruz, Ted [R-TX]",,Senate - 12/18/2021 Introduced in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 231. (,Introduced,https://www.congress.gov/bill/117th-congress/senate-bill/3436?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-12-18%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-12-18%5C%22%22%5D%7D&s=1&r=6
12/18/2021,BILL,COVID-19 Bankruptcy Relief Extension Consolidation Act of 2021,"Sen. Durbin, Richard J. [D-IL]",,"Senate - 12/18/2021 Introduced in the Senate, read twice, considered, read the third time, and passed without amendment by Voice Vote. (consideration: CR ",Passed Senate,https://www.congress.gov/bill/117th-congress/senate-bill/3437?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-12-18%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-12-18%5C%22%22%5D%7D&s=1&r=7
12/18/2021,CONCURRENT RESOLUTION,A concurrent resolution directing the Secretary of the Senate to make corrections in the enrollment of the bill S. 1605.,"Sen. Reed, Jack [D-RI]",,"Senate - 12/18/2021 Submitted in the Senate, considered, and agreed to without amendment by Unanimous Consent. (consideration: CR ",Agreed to in Senate,https://www.congress.gov/bill/117th-congress/senate-concurrent-resolution/24?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-12-18%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-12-18%5C%22%22%5D%7D&s=1&r=8
12/16/2021,BILL,"To designate the facility of the United States Postal Service located at 1 League in Irvine, California, as the ""Tuskegee Airman Lieutenant Colonel Robert J. Friend Memorial Post Office Building"".","Rep. Porter, Katie [D-CA-45]", House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs        ,Senate - 12/16/2021 Placed on Senate Legislative Calendar under General Orders. Calendar No. 186. (,Passed House,https://www.congress.gov/bill/117th-congress/house-bill/1170?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-12-16%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-12-16%5C%22%22%5D%7D&s=1&r=2
