date,type,title,sponsor,committees,latest_action,tracker,url
09/22/2021,BILL,National Defense Authorization Act for Fiscal Year 2022,"Rep. Smith, Adam [D-WA-9]", House - Armed Services        ,"House - 09/22/2021 The Chair announced that pursuant to clause 1(c) of rule XIX, further proceedings on ",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/4350?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-09-22%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=1
09/22/2021,BILL,Extending Government Funding and Delivering Emergency Assistance Act,"Rep. DeLauro, Rosa L. [D-CT-3]", House - Appropriations; Budget; Ways and Means        ,Senate - 09/22/2021 Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 137. (,Passed House,https://www.congress.gov/bill/117th-congress/house-bill/5305?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-09-22%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=2
09/22/2021,BILL,"To amend title 40, United States Code, to add certain counties to the definition of ""Appalachian region"".","Rep. Fleischmann, Charles J. ""Chuck"" [R-TN-3]", House - Transportation and Infrastructure        ,"House - 09/22/2021 Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/5310?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-09-22%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=3
09/22/2021,BILL,"To protect our democracy by preventing abuses of presidential power, restoring checks and balances and accountability and transparency in government, and defending elections against foreign interference, and for other purposes.","Rep. Schiff, Adam B. [D-CA-28]", House - Oversight and Reform; Judiciary; Budget; Transportation and Infrastructure; Rules; Foreign Affairs; Ways and Means; Intelligence (Permanent Select); House Administration        ,"House - 09/22/2021 Referred to the Subcommittee on Economic Development, Public Buildings, and Emergency Management. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/5314?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-09-22%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=4
09/22/2021,BILL,"To direct the Secretary of Transportation to establish in the Department of Transportation a drone infrastructure inspection grant program and a drone education and training grant program, and for other purposes.","Rep. Stanton, Greg [D-AZ-9]", House - Transportation and Infrastructure        ,House - 09/22/2021 Referred to the Subcommittee on Aviation. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/5315?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-09-22%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=5
09/22/2021,BILL,"To amend the Consumer Financial Protection Act of 2010 to establish the position of the Assistant Director and Student Loan Borrower Advocate of the Bureau of Consumer Financial Protection, to establish the Office for Students and Young Consumers of the Bureau, and for other purposes.","Rep. Bonamici, Suzanne [D-OR-1]", House - Education and Labor; Financial Services        ,"House - 09/22/2021 Referred to the Committee on Education and Labor, and in addition to the Committee on Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee... (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/5322?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-09-22%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=6
09/22/2021,BILL,"Iron Dome Supplemental Appropriations Act, 2022","Rep. DeLauro, Rosa L. [D-CT-3]", House - Appropriations; Budget        ,"House - 09/22/2021 Referred to the Committee on Appropriations, and in addition to the Committee on the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/5323?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-09-22%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=7
09/22/2021,BILL,"To provide guidance for and investment in the upgrade and modernization of the National Oceanic and Atmospheric Administration Weather Radio All Hazards network, and for other purposes.","Rep. Bice, Stephanie I. [R-OK-5]"," House - Science, Space, and Technology        ","House - 09/22/2021 Referred to the House Committee on Science, Space, and Technology. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/5324?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-09-22%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=8
09/22/2021,BILL,"To amend title 31, United States Code, to provide for automatic continuing resolutions.","Rep. Balderson, Troy [R-OH-12]", House - Appropriations        ,House - 09/22/2021 Referred to the House Committee on Appropriations. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/5325?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-09-22%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=9
09/22/2021,BILL,To impose sanctions with respect to Communist Chinese military and surveillance companies.,"Rep. Barr, Andy [R-KY-6]", House - Foreign Affairs; Financial Services        ,"House - 09/22/2021 Referred to the Committee on Foreign Affairs, and in addition to the Committee on Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee... (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/5326?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-09-22%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=10
