date,type,title,sponsor,committees,latest_action,tracker,url
03/09/2022,BILL,"To provide for the boundary of the Palo Alto Battlefield National Historic Park to be adjusted, to authorize the donation of land to the United States for addition to that historic park, and for other purposes.","Rep. Vela, Filemon [D-TX-34]", House - Natural Resources        ,"House - 03/09/2022 Placed on the Union Calendar, Calendar No. 197. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/268?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-03-09%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-03-09%5C%22%22%5D%7D&s=1&r=1
03/09/2022,BILL,Ka‘ena Point National Heritage Area Act,"Rep. Case, Ed [D-HI-1]", House - Natural Resources        ,"House - 03/09/2022 Placed on the Union Calendar, Calendar No. 196. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/1908?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-03-09%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-03-09%5C%22%22%5D%7D&s=1&r=2
03/09/2022,BILL,"Haiti Development, Accountability, and Institutional Transparency Initiative Act","Rep. Jeffries, Hakeem S. [D-NY-8]", House - Foreign Affairs | Senate - Foreign Relations        ,House - 03/09/2022 On motion that the House agree with an amendment to the Senate amendment Agreed to by voice vote. (,,https://www.congress.gov/bill/117th-congress/house-bill/2471?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-03-09%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-03-09%5C%22%22%5D%7D&s=1&r=3
03/09/2022,BILL,"To direct the Secretary of the Interior to conduct a study to assess the suitability and feasibility of designating areas within the island of Guam as a National Heritage Area, and for other purposes.","Del. San Nicolas, Michael F. Q. [D-GU-At Large]", House - Natural Resources        ,"House - 03/09/2022 Placed on the Union Calendar, Calendar No. 194. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/2899?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-03-09%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-03-09%5C%22%22%5D%7D&s=1&r=4
03/09/2022,BILL,Save the Liberty Theatre Act of 2021,"Rep. Johnson, Mike [R-LA-4]", House - Natural Resources        ,"House - 03/09/2022 Placed on the Union Calendar, Calendar No. 195. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/3197?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-03-09%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-03-09%5C%22%22%5D%7D&s=1&r=5
03/09/2022,BILL,"To designate the El Paso Community Healing Garden National Memorial, and for other purposes.","Rep. Escobar, Veronica [D-TX-16]", House - Natural Resources        ,"House - 03/09/2022 Placed on the Union Calendar, Calendar No. 193. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/4380?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-03-09%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-03-09%5C%22%22%5D%7D&s=1&r=6
03/09/2022,BILL,Upper Colorado and San Juan River Basins Recovery Act,"Rep. Neguse, Joe [D-CO-2]", House - Natural Resources        ,"House - 03/09/2022 Placed on the Union Calendar, Calendar No. 192. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/5001?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-03-09%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-03-09%5C%22%22%5D%7D&s=1&r=7
03/09/2022,BILL,Pandemic Cessation Act,"Rep. Schweikert, David [R-AZ-6]", House - Energy and Commerce        ,House - 03/09/2022 Motion to Discharge Committee filed by Mr. Schweikert. Petition No: 117-11. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/6009?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-03-09%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-03-09%5C%22%22%5D%7D&s=1&r=8
03/09/2022,BILL,Japanese American World War II History Network Act,"Rep. Obernolte, Jay [R-CA-8]", House - Natural Resources        ,"House - 03/09/2022 Placed on the Union Calendar, Calendar No. 191. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/6434?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-03-09%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-03-09%5C%22%22%5D%7D&s=1&r=9
03/09/2022,BILL,Suspending Energy Imports from Russia Act,"Rep. Doggett, Lloyd [D-TX-35]", House - Ways and Means; Foreign Affairs; Judiciary; Rules        ,House - 03/09/2022 Motion to reconsider laid on the table Agreed to without objection. (,Passed House,https://www.congress.gov/bill/117th-congress/house-bill/6968?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-03-09%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-03-09%5C%22%22%5D%7D&s=1&r=10
