date,type,title,sponsor,committees,latest_action,tracker,url
01/03/2022,BILL,National Service Animals Memorial Act,"Rep. Wild, Susan [D-PA-7]", House - Natural Resources        ,House - 01/03/2022 Referred to the House Committee on Natural Resources. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/6353?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-01-03%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-01-03%5C%22%22%5D%7D&s=1&r=1
01/04/2022,BILL,States Reform Act,"Rep. Mace, Nancy [R-SC-1]", House - Judiciary; Energy and Commerce; Natural Resources; Agriculture; Transportation and Infrastructure; Armed Services; Ways and Means; Small Business; Veterans' Affairs; Oversight and Reform; Education and Labor; Foreign Affairs        ,House - 01/04/2022 Referred to the Subcommittee on Conservation and Forestry. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/5977?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-01-04%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-01-04%5C%22%22%5D%7D&s=1&r=1
12/30/2021,BILL,Climate Solutions Act of 2021,"Rep. Lieu, Ted [D-CA-33]", House - Energy and Commerce        ,House - 12/30/2021 Referred to the House Committee on Energy and Commerce. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/6351?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-12-30%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-12-30%5C%22%22%5D%7D&s=1&r=1
01/04/2022,BILL,Cures 2.0 Act,"Rep. DeGette, Diana [D-CO-1]"," House - Energy and Commerce; Ways and Means; Budget; Science, Space, and Technology; Agriculture; Education and Labor; Armed Services; Natural Resources; Veterans' Affairs; Homeland Security; Judiciary        ","House - 01/04/2022 Referred to the Subcommittee on Biotechnology, Horticulture, and Research. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/6000?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-01-04%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-01-04%5C%22%22%5D%7D&s=1&r=2
01/04/2022,BILL,STOP the GRINCH Act,"Rep. Fischbach, Michelle [R-MN-7]", House - Transportation and Infrastructure; Homeland Security; Agriculture; Natural Resources; Armed Services        ,House - 01/04/2022 Referred to the Subcommittee on Conservation and Forestry. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/6028?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-01-04%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-01-04%5C%22%22%5D%7D&s=1&r=3
01/04/2022,BILL,Leveraging Integrated Networks in Communities To Address Social Needs Act of 2021,"Rep. Kildee, Daniel T. [D-MI-5]", House - Energy and Commerce; Agriculture; Financial Services; Transportation and Infrastructure; Education and Labor        ,"House - 01/04/2022 Referred to the Subcommittee on Nutrition, Oversight, and Department Operations. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/6072?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-01-04%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-01-04%5C%22%22%5D%7D&s=1&r=4
01/04/2022,BILL,"To amend the Animal Welfare Act to increase enforcement with respect to violations of that Act, and for other purposes.","Rep. Axne, Cynthia [D-IA-3]", House - Agriculture        ,House - 01/04/2022 Referred to the Subcommittee on Livestock and Foreign Agriculture. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/6100?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-01-04%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-01-04%5C%22%22%5D%7D&s=1&r=5
01/04/2022,BILL,Removing Waste and Protecting Medicare Act,"Rep. Smith, Jason [R-MO-8]", House - Ways and Means; Budget; Energy and Commerce; Judiciary; Agriculture; Oversight and Reform        ,"House - 01/04/2022 Referred to the Subcommittee on Nutrition, Oversight, and Department Operations. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/6144?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-01-04%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-01-04%5C%22%22%5D%7D&s=1&r=6
01/04/2022,BILL,Driftless Area Landscape Conservation Initiative Act,"Rep. Bustos, Cheri [D-IL-17]", House - Agriculture        ,House - 01/04/2022 Referred to the Subcommittee on Conservation and Forestry. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/6147?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-01-04%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-01-04%5C%22%22%5D%7D&s=1&r=7
01/04/2022,BILL,Study on Improving Lands Act,"Rep. Neguse, Joe [D-CO-2]", House - Agriculture        ,House - 01/04/2022 Referred to the Subcommittee on Conservation and Forestry. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/6163?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-01-04%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-01-04%5C%22%22%5D%7D&s=1&r=8
01/04/2022,BILL,Emergency SNAP Staffing Flexibility Act of 2021,"Rep. Bacon, Don [R-NE-2]", House - Agriculture        ,"House - 01/04/2022 Referred to the Subcommittee on Nutrition, Oversight, and Department Operations. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/6203?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-01-04%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-01-04%5C%22%22%5D%7D&s=1&r=9
01/04/2022,BILL,"To delay the implementation of a rule relating to the importation of sheep and goats and products derived from sheep and goats, and for other purposes.","Rep. Pfluger, August [R-TX-11]", House - Agriculture        ,House - 01/04/2022 Referred to the Subcommittee on Livestock and Foreign Agriculture. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/6232?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-01-04%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-01-04%5C%22%22%5D%7D&s=1&r=10
01/04/2022,BILL,Protecting America’s Meatpacking Workers Act of 2021,"Rep. Khanna, Ro [D-CA-17]", House - Agriculture; Education and Labor; Oversight and Reform; House Administration; Judiciary        ,House - 01/04/2022 Referred to the Subcommittee on Livestock and Foreign Agriculture. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/6250?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-01-04%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-01-04%5C%22%22%5D%7D&s=1&r=11
12/30/2021,BILL,DRUGS Act,"Rep. McKinley, David B. [R-WV-1]", House - Energy and Commerce        ,House - 12/30/2021 Referred to the House Committee on Energy and Commerce. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/6352?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-12-30%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-12-30%5C%22%22%5D%7D&s=1&r=2
01/04/2022,BILL,College Student Hunger Act of 2021,"Rep. Lawson, Al, Jr. [D-FL-5]", House - Agriculture        ,"House - 01/04/2022 Referred to the Subcommittee on Nutrition, Oversight, and Department Operations. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/6272?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-01-04%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-01-04%5C%22%22%5D%7D&s=1&r=12
01/04/2022,BILL,Capital for Cooperatives Act,"Rep. Neguse, Joe [D-CO-2]", House - Small Business; Agriculture        ,"House - 01/04/2022 Referred to the Subcommittee on Commodity Exchanges, Energy, and Credit. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/6317?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-01-04%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-01-04%5C%22%22%5D%7D&s=1&r=13
01/04/2022,BILL,SNAP Tribal Food Sovereignty Act of 2021,"Rep. Neguse, Joe [D-CO-2]", House - Agriculture        ,"House - 01/04/2022 Referred to the Subcommittee on Nutrition, Oversight, and Department Operations. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/6334?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2022-01-04%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2022-01-04%5C%22%22%5D%7D&s=1&r=14
