date,type,title,sponsor,committees,latest_action,tracker,url
10/13/2021,LAW,"To designate the September 11th National Memorial Trail Route, and for other purposes.","Rep. Connolly, Gerald E. [D-VA-11]", House - Natural Resources        ,,Became Law,https://www.congress.gov/bill/117th-congress/house-bill/2278?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-10-13%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-10-13%5C%22%22%5D%7D&s=1&r=1
10/13/2021,BILL,"To prohibit cargo vessels from idling or anchoring in the coastal waters of Southern California, and for other purposes.","Rep. Steel, Michelle [R-CA-48]", House - Transportation and Infrastructure        ,House - 10/13/2021 Referred to the Subcommittee on Coast Guard and Maritime Transportation. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/5573?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-10-13%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-10-13%5C%22%22%5D%7D&s=1&r=2
10/13/2021,LAW,Consider Teachers Act of 2021,"Sen. Braun, Mike  [R-IN]"," Senate - Health, Education, Labor, and Pensions        ",,Became Law,https://www.congress.gov/bill/117th-congress/senate-bill/848?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-10-13%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-10-13%5C%22%22%5D%7D&s=1&r=3
10/12/2021,BILL,Family Violence Prevention and Services Improvement Act of 2021,"Rep. McBath, Lucy [D-GA-6]", House - Education and Labor        ,House - 10/12/2021 Rules Committee Resolution ,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/2119?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-10-12%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-10-12%5C%22%22%5D%7D&s=1&r=1
10/12/2021,BILL,PUMP for Nursing Mothers Act,"Rep. Maloney, Carolyn B. [D-NY-12]", House - Education and Labor        ,House - 10/12/2021 Rules Committee Resolution ,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/3110?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-10-12%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-10-12%5C%22%22%5D%7D&s=1&r=2
10/12/2021,BILL,SBA Cyber Awareness Act,"Rep. Crow, Jason [D-CO-6]", House - Small Business        ,"House - 10/12/2021 Placed on the Union Calendar, Calendar No. 98. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/3462?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-10-12%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-10-12%5C%22%22%5D%7D&s=1&r=3
10/12/2021,BILL,Veteran Entrepreneurship Training Act of 2021,"Rep. Schneider, Bradley Scott [D-IL-10]", House - Small Business        ,"House - 10/12/2021 Placed on the Union Calendar, Calendar No. 99. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/3469?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-10-12%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-10-12%5C%22%22%5D%7D&s=1&r=4
10/12/2021,BILL,POJA Act of 2021,"Rep. Garcia, Sylvia R. [D-TX-29]", House - Education and Labor        ,House - 10/12/2021 Rule ,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/3992?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-10-12%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-10-12%5C%22%22%5D%7D&s=1&r=5
10/12/2021,BILL,Investing in Main Street Act of 2021,"Rep. Chu, Judy [D-CA-27]", House - Small Business        ,"House - 10/12/2021 Placed on the Union Calendar, Calendar No. 100. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/4256?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-10-12%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-10-12%5C%22%22%5D%7D&s=1&r=6
10/12/2021,BILL,Small Business 7(a) Loan Agent Transparency Act,"Rep. Phillips, Dean [D-MN-3]", House - Small Business        ,"House - 10/12/2021 Placed on the Union Calendar, Calendar No. 101. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/4481?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-10-12%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-10-12%5C%22%22%5D%7D&s=1&r=7
10/12/2021,BILL,Small Business Advanced Cybersecurity Enhancements Act of 2021,"Rep. Donalds, Byron [R-FL-19]", House - Small Business        ,"House - 10/12/2021 Placed on the Union Calendar, Calendar No. 102. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/4513?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-10-12%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-10-12%5C%22%22%5D%7D&s=1&r=8
