name,text,date,pdf_link
,,,https://www.congress.gov/bill-texts-received-today
H.Res.667 [117th]," - Providing for consideration of the bill (H.R. 3755) to protect a person's ability to determine whether to continue or end a pregnancy, and to protect a health care provider's ability to provide abortion services; providing for consideration of the bill (H.R. 4350) to au",Engrossed in House (09/21/2021):,https://www.congress.gov/117/bills/hres667/BILLS-117hres667eh.pdf
H.R.5304 [117th], - Extending Government Funding and Delivering Emergency Assistance Act,Introduced in House (09/21/2021):,https://www.congress.gov/117/bills/hr5304/BILLS-117hr5304ih.pdf
H.R.5305 [117th], - Extending Government Funding and Delivering Emergency Assistance Act,Engrossed in House (09/21/2021):,https://www.congress.gov/117/bills/hr5305/BILLS-117hr5305eh.pdf
H.R.5298 [117th], - Disaster Assistance Equity Act of 2021,Introduced in House (09/20/2021):,https://www.congress.gov/117/bills/hr5298/BILLS-117hr5298ih.pdf
H.R.5296 [117th], - Preventing HEAT Illness and Deaths Act of 2021,Introduced in House (09/20/2021):,https://www.congress.gov/117/bills/hr5296/BILLS-117hr5296ih.pdf
H.R.5297 [117th], - National POW/MIA Memorial and Museum Act,Introduced in House (09/20/2021):,https://www.congress.gov/117/bills/hr5297/BILLS-117hr5297ih.pdf
H.R.5300 [117th]," - To direct the Secretary of Defense to establish a tiger team to perform outreach regarding the process by which a member of the Armed Forces, discharged on the basis of sexual orientation, may apply for review of the characterization of such discharge.",Introduced in House (09/20/2021):,https://www.congress.gov/117/bills/hr5300/BILLS-117hr5300ih.pdf
H.R.5299 [117th]," - To amend title 37, United States Code, to authorize travel and transportation allowances for family members to attend the funeral and memorial services of members of the uniformed services.",Introduced in House (09/20/2021):,https://www.congress.gov/117/bills/hr5299/BILLS-117hr5299ih.pdf
H.R.5276 [117th], - To amend the Small Business Act to modify Govermentwide goals for certain small business concerns.,Introduced in House (09/17/2021):,https://www.congress.gov/117/bills/hr5276/BILLS-117hr5276ih.pdf
H.R.5287 [117th], - COVID–19 Vaccine Developers Gold Medal Act,Introduced in House (09/17/2021):,https://www.congress.gov/117/bills/hr5287/BILLS-117hr5287ih.pdf
H.R.5289 [117th], - Assistance for Firms Harmed by Tariffs on Exports Act,Introduced in House (09/17/2021):,https://www.congress.gov/117/bills/hr5289/BILLS-117hr5289ih.pdf
H.R.5292 [117th], - Energy Accountability Act,Introduced in House (09/17/2021):,https://www.congress.gov/117/bills/hr5292/BILLS-117hr5292ih.pdf
H.R.5290 [117th], - To extend authorization for livestock mandatory reporting.,Introduced in House (09/17/2021):,https://www.congress.gov/117/bills/hr5290/BILLS-117hr5290ih.pdf
H.R.5278 [117th], - Diversity in Apprenticeships Act,Introduced in House (09/17/2021):,https://www.congress.gov/117/bills/hr5278/BILLS-117hr5278ih.pdf
H.R.5284 [117th], - Home Educators are Teachers Act of 2021,Introduced in House (09/17/2021):,https://www.congress.gov/117/bills/hr5284/BILLS-117hr5284ih.pdf
H.R.5288 [117th], - Teaching Engaged Citizenship Act of 2021,Introduced in House (09/17/2021):,https://www.congress.gov/117/bills/hr5288/BILLS-117hr5288ih.pdf
H.R.5275 [117th], - Accountability in Assignment Restrictions Act,Introduced in House (09/17/2021):,https://www.congress.gov/117/bills/hr5275/BILLS-117hr5275ih.pdf
H.R.5291 [117th], - Democracy in Design Act,Introduced in House (09/17/2021):,https://www.congress.gov/117/bills/hr5291/BILLS-117hr5291ih.pdf
H.R.5283 [117th], - Housing for our Firefighters Act,Introduced in House (09/17/2021):,https://www.congress.gov/117/bills/hr5283/BILLS-117hr5283ih.pdf
