date,type,title,sponsor,committees,latest_action,tracker,url
08/13/2021,RESOLUTION,"Expressing that the United States is obligated to permanently end the unhoused crisis by 2025 and uphold, protect, and enforce the civil and human rights of unhoused individuals, including the human rights to housing, universal health care, livable wages, education, employment opportunities, access to public facilities, free movement in public spaces, privacy, confidentiality, internet access, vote, freedom from harassment by law enforcement, private businesses, property owners, and housed residents, and equal rights to health care, legal representation, and social services without discrimination based on housing status.","Rep. Bush, Cori [D-MO-1]", House - Financial Services; Energy and Commerce; Education and Labor; Judiciary; Agriculture; Ways and Means        ,"House - 08/13/2021 Referred to the Subcommittee on Nutrition, Oversight, and Department Operations. (",Introduced,https://www.congress.gov/bill/117th-congress/house-resolution/568?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-13%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=45
08/13/2021,RESOLUTION,"Expressing support for the United States Government to be a guaranteed buyer of vaccines and for the United States to develop a ""Marshall Plan"" for global vaccinations.","Rep. Auchincloss, Jake [D-MA-4]", House - Foreign Affairs        ,House - 08/13/2021 Referred to the House Committee on Foreign Affairs. (,Introduced,https://www.congress.gov/bill/117th-congress/house-resolution/586?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-13%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=46
08/13/2021,RESOLUTION,Expressing the sense of the House of Representatives that Congress disapproves of Department of Defense leadership pursuing adverse actions toward members of the Armed Forces of the United States who choose not to receive a COVID-19 vaccine.,"Rep. Green, Mark E. [R-TN-7]", House - Armed Services        ,House - 08/13/2021 Referred to the House Committee on Armed Services. (,Introduced,https://www.congress.gov/bill/117th-congress/house-resolution/587?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-13%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=47
08/13/2021,BILL,K-12 Cybersecurity Act of 2021,"Sen. Peters, Gary C. [D-MI]", Senate - Homeland Security and Governmental Affairs        ,House - 08/13/2021 Held at the desk. (,Passed Senate,https://www.congress.gov/bill/117th-congress/senate-bill/1917?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-13%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=48
08/10/2021,BILL,Harlem Hellfighters Congressional Gold Medal Act,"Rep. Suozzi, Thomas R. [D-NY-3]"," House - Financial Services; House Administration | Senate - Banking, Housing, and Urban Affairs        ",Senate - 08/10/2021 Message on Senate action sent to the House. (,Passed Senate,https://www.congress.gov/bill/117th-congress/house-bill/3642?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=1
08/10/2021,BILL,INVEST in America Act,"Rep. DeFazio, Peter A. [D-OR-4]", House - Transportation and Infrastructure        ,Senate - 08/10/2021 Passed Senate with an amendment by Yea-Nay Vote. 69 - 30. ,Passed Senate,https://www.congress.gov/bill/117th-congress/house-bill/3684?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=2
08/10/2021,BILL,To amend the Congressional Budget Act of 1974 to establish that reconciliation directives in a budget resolution may not cause a net increase in the deficit for the period of fiscal years covered by that resolution.,"Rep. Case, Ed [D-HI-1]", House - Rules; Budget        ,"House - 08/10/2021 Referred to the Committee on Rules, and in addition to the Committee on the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/4988?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=3
08/10/2021,BILL,"To amend the Public Health Service Act to provide for the implementation of curricula for training students, teachers, and school personnel to understand, recognize, prevent, and respond to signs of human trafficking and exploitation in children and youth, and for other purposes.","Rep. Buchanan, Vern [R-FL-16]", House - Energy and Commerce        ,House - 08/10/2021 Referred to the House Committee on Energy and Commerce. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/4989?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=4
08/10/2021,BILL,"To codify the Institute for Telecommunication Sciences and to direct the Assistant Secretary of Commerce for Communications and Information to establish an initiative to support the development of emergency communication and tracking technologies, and for other purposes.","Rep. Carter, Earl L. ""Buddy"" [R-GA-1]", House - Energy and Commerce        ,House - 08/10/2021 Referred to the House Committee on Energy and Commerce. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/4990?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=5
08/10/2021,BILL,"To require persons who undertake federally funded research and development of a biomedical product or service to enter into reasonable pricing agreements with the Secretary of Health and Human Services, and for other purposes.","Rep. DeFazio, Peter A. [D-OR-4]", House - Energy and Commerce        ,House - 08/10/2021 Referred to the House Committee on Energy and Commerce. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/4991?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=6
08/10/2021,BILL,"To amend title 18, United States Code, to increase the age at which a rifle or shotgun may be acquired from a federally licensed firearms dealer, and for other purposes.","Rep. Deutch, Theodore E. [D-FL-22]", House - Judiciary        ,House - 08/10/2021 Referred to the House Committee on the Judiciary. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/4992?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=7
08/10/2021,BILL,"To amend title 38, United States Code, to modify the limitation on reimbursement for emergency treatment of amounts owed to a third party or for which the veteran is responsible under a health-plan contract.","Rep. Dingell, Debbie [D-MI-12]", House - Veterans' Affairs        ,House - 08/10/2021 Referred to the House Committee on Veterans' Affairs. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/4993?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=8
08/10/2021,BILL,"To prohibit the use of Federal funds for Confederate symbols, and for other purposes.","Rep. Espaillat, Adriano [D-NY-13]", House - Natural Resources; Armed Services; Transportation and Infrastructure        ,House - 08/11/2021 Referred to the Subcommittee on Water Resources and Environment. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/4994?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=9
08/10/2021,BILL,"To require the Secretary of the Interior to establish Tribal Wildlife Corridors, and for other purposes.","Rep. Gallego, Ruben [D-AZ-7]", House - Natural Resources; Agriculture        ,"House - 08/10/2021 Referred to the Committee on Natural Resources, and in addition to the Committee on Agriculture, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned. (",Introduced,https://www.congress.gov/bill/117th-congress/house-bill/4995?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=10
08/10/2021,BILL,"To amend title 46, United States Code, with respect to prohibited acts by ocean common carriers or marine terminal operators, and for other purposes.","Rep. Garamendi, John [D-CA-3]", House - Transportation and Infrastructure        ,House - 08/11/2021 Referred to the Subcommittee on Coast Guard and Maritime Transportation. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/4996?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=11
08/10/2021,BILL,"To direct the Secretary of Homeland Security to exempt immediate relatives of deceased or injured firefighters and law enforcement officers, and injured firefighters and law enforcement officers, from certain fees, and for other purposes.","Rep. Gimenez, Carlos A. [R-FL-26]", House - Judiciary        ,House - 08/10/2021 Referred to the House Committee on the Judiciary. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/4997?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-08-10%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%5D%7D&s=1&r=12
