name,text,date,pdf_link
,,,https://www.congress.gov/bill-texts-received-today
H.Res.837 [117th], - Expressing the sense of the House of Representatives that the International Olympic Committee failed to adhere to its own human rights commitments.,Introduced in House (12/03/2021):,https://www.congress.gov/117/bills/hres837/BILLS-117hres837ih.pdf
H.Res.836 [117th]," - Expressing support for the designation of December 3, 2021, as the ""National Day of 3D Printing"".",Introduced in House (12/03/2021):,https://www.congress.gov/117/bills/hres836/BILLS-117hres836ih.pdf
S.Res.467 [117th], - A resolution recognizing the contributions made by the 305-meter radio telescope at the Arecibo Observatory.,Introduced in Senate (12/02/2021):,https://www.congress.gov/117/bills/sres467/BILLS-117sres467is.pdf
S.Res.465 [117th]," - A resolution expressing the sense of the Senate that the United States should prioritize within the Government and emphasize with allies the need to provide continued support to, and maintain legal pathways for the emigration out of Afghanistan of, individuals who do no",Introduced in Senate (12/02/2021):,https://www.congress.gov/117/bills/sres465/BILLS-117sres465is.pdf
S.Res.466 [117th], - A resolution expressing the sense of the Senate in support of the International Atomic Energy Agency's (IAEA) nuclear security role.,Introduced in Senate (12/02/2021):,https://www.congress.gov/117/bills/sres466/BILLS-117sres466is.pdf
H.R.6119 [117th], - Further Extending Government Funding Act,Received in Senate (12/02/2021):,https://www.congress.gov/117/bills/hr6119/BILLS-117hr6119rds.pdf
S.3297 [117th], - A bill for the relief of Shirley Constantino Tan.,Introduced in Senate (12/01/2021):,https://www.congress.gov/117/bills/s3297/BILLS-117s3297is.pdf
H.R.6056 [117th], - Parents Bill of Rights Act,Introduced in House (11/19/2021):,https://www.congress.gov/117/bills/hr6056/BILLS-117hr6056ih.pdf
H.R.6028 [117th], - STOP the GRINCH Act,Introduced in House (11/18/2021):,https://www.congress.gov/117/bills/hr6028/BILLS-117hr6028ih.pdf
H.R.6049 [117th]," - To amend the Internal Revenue Code of 1986 to modify the limitation on the deduction for State and local taxes, etc.",Introduced in House (11/18/2021):,https://www.congress.gov/117/bills/hr6049/BILLS-117hr6049ih.pdf
H.R.6053 [117th], - Protect Minority Student Borrowers Act,Introduced in House (11/18/2021):,https://www.congress.gov/117/bills/hr6053/BILLS-117hr6053ih.pdf
