date,type,title,sponsor,committees,latest_action,tracker,url
12/27/2021,BILL,Climate Readiness Act of 2021,"Rep. Neguse, Joe [D-CO-2]", House - Armed Services        ,House - 12/27/2021 Referred to the House Committee on Armed Services. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/6348?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-12-27%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-12-27%5C%22%22%5D%7D&s=1&r=1
12/27/2021,BILL,Teachers Are Leaders Act,"Rep. Neguse, Joe [D-CO-2]", House - Education and Labor        ,House - 12/27/2021 Referred to the House Committee on Education and Labor. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/6349?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-12-27%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-12-27%5C%22%22%5D%7D&s=1&r=2
12/27/2021,BILL,Rescuing Every Contributor from Unwanted Recurrences (RECUR) Act,"Rep. Neguse, Joe [D-CO-2]", House - House Administration        ,House - 12/27/2021 Referred to the House Committee on House Administration. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/6350?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-12-27%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-12-27%5C%22%22%5D%7D&s=1&r=3
12/23/2021,BILL,"To authorize the National Medal of Honor Museum Foundation to establish a commemorative work in the District of Columbia and its environs, and for other purposes.","Rep. Veasey, Marc A. [D-TX-33]", House - Natural Resources | Senate - Energy and Natural Resources        ,,To President,https://www.congress.gov/bill/117th-congress/house-bill/1664?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-12-23%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-12-23%5C%22%22%5D%7D&s=1&r=1
12/22/2021,LAW,Capitol Police Emergency Assistance Act of 2021,"Sen. Klobuchar, Amy [D-MN]",,,Became Law,https://www.congress.gov/bill/117th-congress/senate-bill/3377?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-12-22%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-12-22%5C%22%22%5D%7D&s=1&r=1
12/23/2021,LAW,Accelerating Access to Critical Therapies for ALS Act,"Rep. Quigley, Mike [D-IL-5]", House - Energy and Commerce        ,,Became Law,https://www.congress.gov/bill/117th-congress/house-bill/3537?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-12-23%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-12-23%5C%22%22%5D%7D&s=1&r=2
12/23/2021,LAW,"To ensure that goods made with forced labor in the Xinjiang Uyghur Autonomous Region of the People's Republic of China do not enter the United States market, and for other purposes.","Rep. McGovern, James P. [D-MA-2]", House - Foreign Affairs; Ways and Means; Judiciary        ,,Became Law,https://www.congress.gov/bill/117th-congress/house-bill/6256?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-12-23%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-12-23%5C%22%22%5D%7D&s=1&r=3
12/23/2021,BILL,Protecting Horses from Soring Act of 2021,"Rep. DesJarlais, Scott [R-TN-4]", House - Energy and Commerce        ,House - 12/23/2021 Referred to the House Committee on Energy and Commerce. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/6341?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-12-23%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-12-23%5C%22%22%5D%7D&s=1&r=4
12/23/2021,BILL,KO Cancer Act,"Rep. Fitzpatrick, Brian K. [R-PA-1]", House - Appropriations        ,House - 12/23/2021 Referred to the House Committee on Appropriations. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/6342?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-12-23%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-12-23%5C%22%22%5D%7D&s=1&r=5
12/23/2021,BILL,Illicit Finance Improvements Act,"Rep. Lynch, Stephen F. [D-MA-8]", House - Financial Services        ,House - 12/23/2021 Referred to the House Committee on Financial Services. (,Introduced,https://www.congress.gov/bill/117th-congress/house-bill/6343?q=%7B%22search%22%3A%5B%22actionDate%3A%5C%22117%7C2021-12-23%5C%22+AND+%28billIsReserved%3A%5C%22N%5C%22+OR+type%3A%5C%22AMENDMENT%5C%22%29%22%2C%22%5C%22117%7C2021-12-23%5C%22%22%5D%7D&s=1&r=6
