,question,Title,votenumber,yeas,nays,date,issue,result
220,On the Motion to Proceed,Motion to Proceed to H.R. 1319; A bill to provide for reconciliation pursuant to title II of S. Con. Res. 5.,00073,50,50,04-Mar,H.R. 1319,Agreed to
221,On the Nomination,"Confirmation: Cecilia Elena Rouse, of New Jersey, to be Chairman of the Council of Economic Advisers",00072,95,4,02-Mar,PN78-17,Confirmed
222,On the Cloture Motion,Motion to Invoke Cloture: Cecilia Elena Rouse to be Chairman of the Council of Economic Advisers,00071,94,5,02-Mar,PN78-17,Agreed to
223,On the Nomination,"Confirmation: Gina Marie Raimondo, of Rhode Island, to be Secretary of Commerce",00070,84,15,02-Mar,PN78-15,Confirmed
224,On the Cloture Motion,"Motion to Invoke Cloture: Gina Marie Raimondo, of Rhode Island, to be Secretary of Commerce",00069,84,15,01-Mar,PN78-15,Agreed to
225,On the Nomination,"Confirmation: Miguel A. Cardona, of Connecticut, to be Secretary of Education",00068,64,33,01-Mar,PN78-5,Confirmed
226,On the Cloture Motion,Motion to Invoke Cloture: Miguel A. Cardona to be Secretary of Education,00067,66,32,25-Feb,PN78-5,Agreed to
227,On the Nomination,"Confirmation: Jennifer Mulhern Granholm, of Michigan, to be Secretary of Energy",00066,64,35,25-Feb,PN78-8,Confirmed
228,On the Cloture Motion,Motion to Invoke Cloture: Jennifer Mulhern Granholm to be Secretary of Energy,00065,67,32,24-Feb,PN78-8,Agreed to
229,On the Nomination,"Confirmation: Linda Thomas-Greenfield, of Louisiana, to be Representative of the United States of America to the Sessions of the General Assembly of the United Nations",00064,78,21,23-Feb,PN78-21,Confirmed
230,On the Nomination,"Confirmation: Thomas J. Vilsack, of Iowa, to be Secretary of Agriculture",00063,92,7,23-Feb,PN78-22,Confirmed
231,On the Cloture Motion,Motion to Invoke Cloture: Linda Thomas-Greenfield to be Representative of the United States of America to the Sessions of the General Assembly of the United Nations,00062,77,20,23-Feb,PN78-21,Agreed to
232,On the Nomination,"Confirmation: Linda Thomas-Greenfield, of Louisiana, to be the Representative of the United States of America to the United Nations and the Representative of the United States of America in the Security Council of the United Nations",00061,78,20,23-Feb,PN78-20,Confirmed
233,On the Cloture Motion,Motion to Invoke Cloture: Linda Thomas-Greenfield to be the Representative of the United States of America to the United Nations and the Representative of the United States of America in the Security Council of the United Nations,00060,75,20,22-Feb,PN78-20,Agreed to
234,Guilty or Not Guilty,"Article of Impeachment Against Former President Donald John Trump; A resolution impeaching Donald John Trump, President of the United States, for high crimes and misdemeanors.",00059,57,43,13-Feb,H.Res. 24,Not Guilty
235,On the Motion (Shall It Be In Order to Consider and Debate Any Motion to Subpoena Witnesses or Documents?),Shall It Be In Order to Consider and Debate Any Motion to Subpoena Witnesses or Documents?,00058,55,45,13-Feb,n/a,Agreed to
236,On the Motion (Is Former President Donald John Trump Subject to a Court of Impeachment for Acts Committed While President?),Is Former President Donald John Trump Subject to a Court of Impeachment for Acts Committed While President?,00057,56,44,09-Feb,n/a,Agreed to
237,On the Resolution,"S. Res. 47; A resolution to provide for related procedures concerning the article of impeachment against Donald John Trump, former President of the United States.",00056,89,11,09-Feb,S.Res. 47,Agreed to
238,On the Nomination,"Confirmation: Denis Richard McDonough, of Maryland, to be Secretary of Veterans Affairs",00055,87,7,08-Feb,PN78-14,Confirmed
239,On the Concurrent Resolution,"S. Con. Res. 5, As Amended; A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2021 and setting forth the appropriate budgetary levels for fiscal years 2022 through 2030.",00054,50,50,05-Feb,S.Con.Res. 5,Agreed to
240, . ,McConnell Amdt. No. 889; To improve the resolution.,00053,50,50,05-Feb,S.Con.Res. 5,Rejected
241, . ,Schumer Amdt. No. 888; In the nature of a substitute.,00052,50,50,05-Feb,S.Con.Res. 5,Agreed to
242, . ,Rubio Amdt. No. 651; To establish a deficit-neutral reserve fund relating to catch-and-release policies and the Migrant Protection Protocols.,00051,50,50,05-Feb,S.Con.Res. 5,Rejected
243, . ,"Motion to Waive All Applicable Budgetary Discipline Re: Sullivan Amdt. No. 461; To establish a deficit-neutral reserve fund relating to expanding natural gas as a vital fuel source to reduce greenhouse gas emissions and provide reliable and affordable heat, electricity, and transportation fuel for consumers.",00050,51,49,05-Feb,S.Con.Res. 5,Rejected
244, . ,Cruz Amdt. No. 871; To establish a deficit-neutral reserve fund relating to conventional biofuel credit cap during a pandemic.,00049,26,74,05-Feb,S.Con.Res. 5,Rejected
245, . ,Lee Amdt. No. 253; To establish a deficit-neutral reserve fund relating to expanding health savings accounts.,00048,53,47,05-Feb,S.Con.Res. 5,Agreed to
246, . ,Romney Amdt No. 803; To establish a deficit-neutral reserve fund relating to creating bipartisan congressional committees to improve the solvency of major Federal trust funds.,00047,71,29,05-Feb,S.Con.Res. 5,Agreed to
247, . ,"Hoeven Amdt No. 887; To establish a deficit-neutral reserve fund relating to prohibiting a Federal carbon tax and preventing American job losses and regressive household utility bill, home heating, and gasoline price increases.",00046,50,50,05-Feb,S.Con.Res. 5,Rejected
248, . ,Crapo Amdt. No. 55; To establish a deficit-neutral reserve fund relating to permanently extending the income tax rate reductions for individuals and small businesses provided under Public Law 115-97.,00045,50,50,05-Feb,S.Con.Res. 5,Rejected
249, . ,Lankford Amdt. No. 837; To establish a deficit-neutral reserve fund relating to Federal relief funds for State or local governments.,00044,51,49,05-Feb,S.Con.Res. 5,Agreed to
250, . ,"Capito Amdt. No. 655; To establish a deficit-neutral reserve fund relating to preserving the continued implementation of the consistent, clear, and functional categories and exclusions of jurisdictional waters in the Navigable Waters Protection Rule.",00043,51,49,05-Feb,S.Con.Res. 5,Agreed to
251, . ,Scott (FL) Amdt No. 872; To amend the reconciliation instructions for certain committees to fund border security and to ensure the enforcement of all immigration laws.,00042,50,50,05-Feb,S.Con.Res. 5,Rejected
