category,date,title,url,video
Hearings,12/15/2021,Closed Briefing:  Intelligence Matters,https://www.intelligence.senate.gov/hearings,
Hearings,12/08/2021,Closed Briefing:  Intelligence Matters,https://www.intelligence.senate.gov/hearings,
