category,date,url,title
Minority Press Release,02/24/22,https://www.banking.senate.gov/newsroom/minority/toomey-calls-for-tougher-sanctions-on-russia,Toomey Calls for Tougher Sanctions on Russia
Hearings,03/03/22,https://www.banking.senate.gov/hearings/02/24/2022/the-semiannual-monetary-policy-report-to-the-congress,The Semiannual Monetary Policy Report to the Congress
Majority Press Release,02/24/22,https://www.banking.senate.gov/newsroom/majority/brown-applauds-biden-administration-plan-to-impose-stricter-sanctions-on-russia-in-response-to-its-invasion-of-ukraine,Brown Applauds Biden Administration Plan to Impose Stricter Sanctions on Russia in Response to Its Invasion of Ukraine
Minority Press Release,02/23/22,https://www.banking.senate.gov/newsroom/minority/toomey-statement-on-biden-administration-sanctioning-nord-stream-2-pipeline,Toomey Statement on Biden Administration Sanctioning Nord Stream 2 Pipeline
Minority Press Release,02/22/22,https://www.banking.senate.gov/newsroom/minority/toomey-calls-for-sanctions-after-russia-invades-ukraine,Toomey Calls for Sanctions After Russia Invades Ukraine
