category,date,title,url,video
Hearings,05/18/2022,Closed Briefing:  Intelligence Matters,https://www.intelligence.senate.gov/hearings,
Hearings,05/17/2022,Closed Briefing:  Intelligence Matters,https://www.intelligence.senate.gov/hearings,
