category,date,title,url,video
Hearings,05/11/2022,Open Hearing:  Countering the People’s Republic of China’s Economic and Technological Plan for Dominance,https://www.intelligence.senate.gov/hearings,
Hearings,05/10/2022,Closed Briefing:  Intelligence Matters,https://www.intelligence.senate.gov/hearings,
