category,date,title,url,video
Hearings,09/22/2021,Closed Briefing:  Intelligence Matters,https://www.intelligence.senate.gov/hearings,
Hearings,09/21/2021,Closed Briefing:  Intelligence Matters,https://www.intelligence.senate.gov/hearings,
