category,date,url,content
Nominations,04/07/22,https://www.congress.gov/nomination/117th-congress/1661,"Caroline Kennedy, of New York, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Commonwealth of Australia."
Nominations,04/07/22,https://www.congress.gov/nomination/117th-congress/1580,"Steven H. Fagin, of New Jersey, a Career Member of the Senior Foreign Service, Class of Minister-Counselor, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Yemen."
Nominations,04/07/22,https://www.congress.gov/nomination/117th-congress/1574,"Adriana Debora Kugler, of Maryland, to be United States Executive Director of the International Bank for Reconstruction and Development for a term of two years, vice Jennifer D. Nordquist."
Nominations,04/07/22,https://www.congress.gov/nomination/117th-congress/1766,"MaryKay Loss Carlson, of Arkansas, a Career Member of the Senior Foreign Service, Class of Minister-Counselor,  to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of the Philippines."
Nominations,04/07/22,https://www.congress.gov/nomination/117th-congress/1778,"Philip S. Goldberg, of the District of Columbia, a Career Member of the Senior Foreign Service, Class of Career Ambassador, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Korea."
Nominations,04/07/22,https://www.congress.gov/nomination/117th-congress/1948,"One nomination, beginning with Sara C. Schuman, and ending with Sara C. Schuman"
Nominations,04/07/22,https://www.congress.gov/nomination/117th-congress/1365,"Marc B. Nathanson, of California, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Kingdom of Norway."
Nominations,04/07/22,https://www.congress.gov/nomination/117th-congress/1181,"Carla Ravi Koppell, of New York, to be an Assistant Administrator of the United States Agency for International Development, vice Michelle A. Bekkering."
Nominations,04/07/22,https://www.congress.gov/nomination/117th-congress/1061,"Oren E. Whyche-Shaw, of Maryland, to be United States Director of the African Development Bank for a term of five years, vice J. Steven Dowd."
Treaties,4/7/22,https://www.foreign.senate.gov/treaties/extradition-treaty-with-the-republic-of-albania,Extradition Treaty with the Republic of Albania
Treaties,4/7/22,https://www.foreign.senate.gov/treaties/tax-convention-with-chile,Tax Convention with Chile.
