category,date,title,url,summary
Markups,09/22/2021,Executive Session and Nominations Hearing,https://www.commerce.senate.gov/2021/9/executive-session/0f0eaa42-fa90-4d98-af69-3c75e23c3cad,"WASHINGTON, D.C. — U.S. Senator Maria Cantwell (D-WA), Chair of the Senate Committee on Commerce, Science, and Transportation, will convene an executive session at 10:00 a.m. on Wednesday, September 22, 2021 to consider the presidential nominations of Alexander Hoehn-Saric to be a Commissioner and Chair of the Consumer Product Safety Commission (CPSC); Mary T. Boyle to be a Commissioner of the CPSC; Richard Trumka, Jr. to be a Commissioner of the CPSC; and Grant Harris to be Assistant Secretary for Industry and Analysis at the Department of Commerce."
Hearings,09/22/2021,Executive Session and Nominations Hearing,https://www.commerce.senate.gov/2021/9/executive-session/0f0eaa42-fa90-4d98-af69-3c75e23c3cad,"WASHINGTON, D.C. — U.S. Senator Maria Cantwell (D-WA), Chair of the Senate Committee on Commerce, Science, and Transportation, will convene an executive session at 10:00 a.m. on Wednesday, September 22, 2021 to consider the presidential nominations of Alexander Hoehn-Saric to be a Commissioner and Chair of the Consumer Product Safety Commission (CPSC); Mary T. Boyle to be a Commissioner of the CPSC; Richard Trumka, Jr. to be a Commissioner of the CPSC; and Grant Harris to be Assistant Secretary for Industry and Analysis at the Department of Commerce."
