category,date,url,content
Nominations,10/27/21,https://www.congress.gov/nomination/117th-congress/1317,"228 nominations, beginning with Adam Jeffrey Abramson, and ending with Jessica Torres Yurcheshen"
Nominations,10/27/21,https://www.congress.gov/nomination/117th-congress/1318,"6 nominations, beginning with Mario D. Ambrosino, and ending with Cristobal Zepeda"
Nominations,10/27/21,https://www.congress.gov/nomination/117th-congress/1319,"One nomination, beginning with Scott Bruns, and ending with Scott Bruns"
Nominations,10/27/21,https://www.congress.gov/nomination/117th-congress/1296,"Michele Taylor, of Georgia, for the rank of Ambassador during her tenure of service as United States Representative to the UN Human Rights Council."
Nominations,10/27/21,https://www.congress.gov/nomination/117th-congress/1297,"Beth Van Schaak, of California, to be Ambassador at Large for Global Criminal Justice."
Nominations,10/26/21,https://www.congress.gov/nomination/117th-congress/1029,"Marc R. Stanley, of Texas, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Argentine Republic."
Nominations,10/26/21,https://www.congress.gov/nomination/117th-congress/782,"Chantale Yokmin Wong, of the District of Columbia, to be United States Director of the Asian Development Bank, with the rank of Ambassador, vice Jason Myung-lk Chung."
Nominations,10/26/21,https://www.congress.gov/nomination/117th-congress/1160,"Adriana Debora Kugler, of Maryland, to be United States Executive Director of the International Bank for Reconstruction and Development for a term of two years, vice Jennifer D. Nordquist."
Nominations,10/26/21,https://www.congress.gov/nomination/117th-congress/1031,"Victoria Reggie Kennedy, of Massachusetts, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Austria."
Nominations,10/26/21,https://www.congress.gov/nomination/117th-congress/872,"Jeffry Lane Flake, of Arizona, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Turkey."
Nominations,10/26/21,https://www.congress.gov/nomination/117th-congress/918,"Tom Udall, of New Mexico, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to New Zealand, and to serve concurrently and without additional compensation as Ambassador Extraordinary and Plenipotentiary of the United States of America to the Independent State of Samoa."
Nominations,10/26/21,https://www.congress.gov/nomination/117th-congress/1008, 08/09/2021
Nominations,10/26/21,https://www.congress.gov/nomination/117th-congress/1006, 08/09/2021
Nominations,10/26/21,https://www.congress.gov/nomination/117th-congress/1044,"Ramin Toloui, of Iowa, to be an Assistant Secretary of State (Economic and Business Affairs), vice Manisha Singh."
