category,date,url,content
Nominations,12/06/21,https://www.congress.gov/nomination/117th-congress/1455,"Erin Elizabeth McKee, of California, to be an Assistant Administrator of the United States Agency for International Development, vice Brock D. Bierman."
Nominations,12/02/21,https://www.congress.gov/nomination/117th-congress/1439,"Steven H. Fagin, of New Jersey, a Career Member of the Senior Foreign Service, Class of Minister-Counselor, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Yemen."
Nominations,12/02/21,https://www.congress.gov/nomination/117th-congress/737,"C.B. Sullenberger III, of Texas, for the rank of Ambassador during his tenure of service as Representative of the United States of America on the Council of the International Civil Aviation Organization."
