category,date,url,title
majority,6/2/22,http://www.hsgac.senate.gov/media/majority-media/icymi-peters-releases-report-on-rise-of-ransomware-attacks-and-how-cryptocurrencies-facilitate-cybercrimes,ICYMI: Peters Releases Report on Rise of Ransomware Attacks and How Cryptocurrencies Facilitate Cybercrimes
hearings,6/09/22,http://www.hsgac.senate.gov/hearings/domestic-extremism-in-america-examining-white-supremacist-violence-in-the-wake-of-recent-attacks,Full Committee Hearing : Domestic Extremism in America: Examining White Supremacist Violence in the Wake of Recent Attacks
hearings,6/07/22,http://www.hsgac.senate.gov/hearings/rising-threats-ransomware-attacks-and-ransom-payments-enabled-by-cryptocurrency,Full Committee Hearing : Rising Threats: Ransomware Attacks and Ransom Payments Enabled by Cryptocurrency
