category,date,title,url,video
Hearings,03/10/2022,Closed Briefing:  Worldwide Threats,https://www.intelligence.senate.gov/hearings,
Hearings,03/10/2022,Open Hearing:  Worldwide Threats,https://www.intelligence.senate.gov/hearings,
Hearings,03/09/2022,Closed Briefing:  Intelligence Matters,https://www.intelligence.senate.gov/hearings,
