category,date,title,url,video
Hearings,07/28/2021,Closed Briefing:  Intelligence Matters,https://www.intelligence.senate.gov/hearings,
Hearings,07/27/2021,Closed Briefing:  Intelligence Matters,https://www.intelligence.senate.gov/hearings,
