category,date,url,title
Markups,08/03/21,https://www.banking.senate.gov/hearings/07/29/2021/executive-session,Executive Session
Majority Press Release,08/04/21,https://www.banking.senate.gov/newsroom/majority/brown-blasts-republican-attack-on-qualified-hud-nominees,Brown Blasts Republican Attack on Qualified HUD Nominees
Minority Press Release,08/05/21,https://www.banking.senate.gov/newsroom/minority/toomey-questions-hud-nominees-temperament-experience-and-fitness-to-serve,"Toomey Questions HUD Nominees’ Temperament, Experience, and Fitness to Serve"
Majority Press Release,08/03/21,https://www.banking.senate.gov/newsroom/majority/senator-reverend-warnock-chairs-first-senate-banking-subcommittee-hearing-underscores-prevalence-of-consumer-scams-in-the-pandemic-recovery-economy,"Senator Reverend Warnock Chairs First Senate Banking Subcommittee Hearing, Underscores Prevalence of Consumer Scams in the Pandemic Recovery Economy"
Majority Press Release,08/03/21,https://www.banking.senate.gov/newsroom/majority/brown-applauds-biden-administration-for-new-actions-on-the-eviction-moratorium-amid-troubling-rise-in-covid-19-cases,Brown Applauds Biden Administration for New Actions on the Eviction Moratorium Amid Troubling Rise in COVID-19 Cases
Majority Press Release,08/03/21,https://www.banking.senate.gov/newsroom/majority/brown-financial-watchdogs-must-ensure-banks-and-credit-unions-serve-working-families-and-their-communities,Brown: Financial Watchdogs Must Ensure Banks and Credit Unions Serve Working Families and Their Communities
Minority Press Release,08/04/21,https://www.banking.senate.gov/newsroom/minority/toomey-wyden-lummis-amendment-would-clarify-digital-asset-reporting-requirements,"Toomey, Wyden, Lummis Amendment Would Clarify Digital Asset Reporting Requirements"
Minority Press Release,08/04/21,https://www.banking.senate.gov/newsroom/minority/banking-republicans-call-on-president-biden-to-withdraw-anti-police-nominees,Banking Republicans Call on President Biden to Withdraw Anti-Police Nominees
Minority Press Release,08/03/21,https://www.banking.senate.gov/newsroom/minority/toomey-financial-regulators-should-increase-competition-promote-innovation-and-improve-efficiency,"Toomey: Financial Regulators Should Increase Competition, Promote Innovation, and Improve Efficiency"
Minority Press Release,08/02/21,https://www.banking.senate.gov/newsroom/minority/toomey-on-cryptocurrency-tax-in-infrastructure-package-text-is-unworkable,Toomey on Cryptocurrency Tax in Infrastructure Package: Text is Unworkable
Hearings,08/05/21,https://www.banking.senate.gov/hearings/07/29/2021/nomination-hearing,Nomination Hearing
Hearings,08/03/21,https://www.banking.senate.gov/hearings/protecting-consumers-from-financial-fraud-and-scams-in-the-pandemic-recovery-economy,Protecting Consumers from Financial Fraud and Scams in the Pandemic Recovery Economy
Hearings,08/03/21,https://www.banking.senate.gov/hearings/oversight-of-regulators-does-our-financial-system-work-for-everyone,Oversight of Regulators: Does our Financial System Work for Everyone?
