category,date,url,content
Nominations,12/18/21,https://www.congress.gov/nomination/117th-congress/1033,"David R. Gilmour, of the District of Columbia, a Career Member of the Senior Foreign Service, Class of Minister-Counselor, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Equatorial Guinea."
Nominations,12/18/21,https://www.congress.gov/nomination/117th-congress/382,"Tulinabo S. Mushingi, of Virginia, a Career Member of the Senior Foreign Service, Class of Counselor, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Angola, and to serve concurrently and without additional compensation as Ambassador Extraordinary and Plenipotentiary of the United States of America to the Democratic Republic of Sao Tome and Principe."
Nominations,12/18/21,https://www.congress.gov/nomination/117th-congress/934,"Mark Gitenstein, of Washington, to be Representative of the United States of America to the European Union, with the rank and status of Ambassador Extraordinary and Plenipotentiary."
Nominations,12/18/21,https://www.congress.gov/nomination/117th-congress/897,"Julie Chung, of California, a Career Member of the Senior Foreign Service, Class of Minister-Counselor, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Democratic Socialist Republic of Sri Lanka."
Nominations,12/18/21,https://www.congress.gov/nomination/117th-congress/732,"Sharon L. Cromer, of New York, a Career Member of the Senior Foreign Service, Class of Career Minister, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of The Gambia."
Nominations,12/18/21,https://www.congress.gov/nomination/117th-congress/378,"Steven C. Bondy, of New Jersey, a Career Member of the Senior Foreign Service, Class of Minister-Counselor, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Kingdom of Bahrain."
Nominations,12/18/21,https://www.congress.gov/nomination/117th-congress/734,"Marc Ostfield, of Pennsylvania, a Career Member of the Senior Executive Service, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Paraguay."
Nominations,12/18/21,https://www.congress.gov/nomination/117th-congress/910,"Caryn R. McClelland, of California, a Career Member of the Senior Foreign Service, Class of Minister-Counselor, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to Brunei Darussalam."
Nominations,12/18/21,https://www.congress.gov/nomination/117th-congress/776,"Bathsheba Nell Crocker, of the District of Columbia, to be Representative of the United States of America to the Office of the United Nations and Other International Organizations in Geneva, with the rank of Ambassador."
Nominations,12/18/21,https://www.congress.gov/nomination/117th-congress/937,"Patricia Mahoney, of Virginia, a Career Member of the Senior Foreign Service, Class of Minister-Counselor, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Central African Republic."
Nominations,12/18/21,https://www.congress.gov/nomination/117th-congress/376,"Larry Edward Andre, Jr., of Texas, a Career Member of the Senior Foreign Service, Class of Minister-Counselor, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Federal Republic of Somalia."
Nominations,12/18/21,https://www.congress.gov/nomination/117th-congress/781,"Jack A. Markell, of Delaware, to be Representative of the United States of America to the Organization for Economic Cooperation and Development, with the rank of Ambassador."
Nominations,12/18/21,https://www.congress.gov/nomination/117th-congress/616,"Rufus Gifford, of Massachusetts, to be Chief of Protocol, and to have the rank of Ambassador during his tenure of service, vice Sean P. Lawler, resigned."
Nominations,12/18/21,https://www.congress.gov/nomination/117th-congress/1058,"Rahm Emanuel, of Illinois, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to Japan."
Nominations,12/18/21,https://www.congress.gov/nomination/117th-congress/1225,"Michael M. Adler, of Florida, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Kingdom of Belgium."
Nominations,12/18/21,https://www.congress.gov/nomination/117th-congress/417,"Eugene S. Young, of New York, a Career Member of the Senior Foreign Service, Class of Minister-Counselor, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of the Congo."
Nominations,12/18/21,https://www.congress.gov/nomination/117th-congress/553,"Christopher P. Lu, of Virginia, to be an Alternate Representative of the United States of America to the Sessions of the General Assembly of the United Nations, during his tenure of service as Representative of the United States of America to the United Nations for U.N. Management and Reform."
Nominations,12/18/21,https://www.congress.gov/nomination/117th-congress/774,"Claire D. Cronin, of Massachusetts, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to Ireland."
Nominations,12/18/21,https://www.congress.gov/nomination/117th-congress/958,"Jamie L. Harpootlian, of South Carolina, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Slovenia."
Nominations,12/18/21,https://www.congress.gov/nomination/117th-congress/873,"Kent Doyle Logsdon, of Pennsylvania, a Career Member of the Senior Foreign Service, Class of Minister-Counselor, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Moldova."
