category,date,url,content
Legislation,09/30/21,https://www.congress.gov/bill/117th-congress/senate-bill/2912,"A bill to strengthen United States oversight of the Biological Weapons Convention and to advance non-proliferation objectives related to biological weapons, dual-use technologies, and life sciences research, and for other purposes."
Legislation,09/30/21,https://www.congress.gov/bill/117th-congress/senate-bill/2922,A bill to establish a commission to study the war in Afghanistan.
Legislation,09/29/21,https://www.congress.gov/bill/117th-congress/house-bill/1228,Libya Stabilization Act
Legislation,09/29/21,https://www.congress.gov/bill/117th-congress/house-bill/4686,Cambodia Democracy Act of 2021
Legislation,09/29/21,https://www.congress.gov/bill/117th-congress/senate-resolution/394,A resolution recognizing the 25th anniversary of Radio Free Asia and its mission to provide an independent source of news to closed societies in Asia.
Legislation,09/29/21,https://www.congress.gov/bill/117th-congress/house-bill/4250,War Crimes Rewards Expansion Act
Legislation,09/28/21,https://www.congress.gov/bill/117th-congress/senate-bill/2876,"A bill to prioritize the efforts of, and to enhance coordination among, United States agencies to encourage countries in Central and Eastern Europe to improve the security of their telecommunications networks, and for other purposes."
Legislation,09/28/21,https://www.congress.gov/bill/117th-congress/senate-bill/2878,"A bill to codify in statute the establishment of the Office of Global Women's Issues and the Women's Global Development and Prosperity Initiative, and for other purposes."
Legislation,09/28/21,https://www.congress.gov/bill/117th-congress/senate-resolution/390,A resolution expressing appreciation for the State of Qatar's efforts to assist the United States during Operation Allies Refuge.
Legislation,09/28/21,https://www.congress.gov/bill/117th-congress/senate-bill/2880,A bill to amend the National Defense Authorization Act for Fiscal Year 2020 to modify certain deadlines relating to the Commission on Combating Synthetic Opioid Trafficking.
Legislation,09/28/21,https://www.congress.gov/bill/117th-congress/senate-resolution/391,"A resolution expressing concern about the rise in illicit mining and trafficking of gold in Latin America and the pervasive problem that such mining poses for the security, stability, and environment of the region."
Nominations,10/02/21,https://www.congress.gov/nomination/117th-congress/634,"Paloma Adams-Allen, of the District of Columbia, to be a Deputy Administrator of the United States Agency for International Development, vice Bonnie Glick."
Nominations,09/30/21,https://www.congress.gov/nomination/117th-congress/1010, 08/09/2021
Nominations,09/30/21,https://www.congress.gov/nomination/117th-congress/935,"Laura S. H. Holgate, of Virginia, to be Representative of the United States of America to the Vienna Office of the United Nations, with the rank of Ambassador."
Nominations,09/30/21,https://www.congress.gov/nomination/117th-congress/910,"Caryn R. McClelland, of California, a Career Member of the Senior Foreign Service, Class of Minister-Counselor, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to Brunei Darussalam."
Nominations,09/30/21,https://www.congress.gov/nomination/117th-congress/936,"Laura S. H. Holgate, of Virginia, to be Representative of the United States of America to the International Atomic Energy Agency, with the rank of Ambassador."
Nominations,09/30/21,https://www.congress.gov/nomination/117th-congress/775,"Claire A. Pierangelo, of California, a Career Member of the Senior Foreign Service, Class of Minister-Counselor, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Madagascar, and to serve concurrently and without additional compensation as Ambassador Extraordinary and Plenipotentiary of the United States of America to the Union of the Comoros."
Nominations,09/29/21,https://www.congress.gov/nomination/117th-congress/737,"C.B. Sullenberger III, of Texas, for the rank of Ambassador during his tenure of service as Representative of the United States of America on the Council of the International Civil Aviation Organization."
Nominations,09/29/21,https://www.congress.gov/nomination/117th-congress/780,"Virginia E. Palmer, of Virginia, a Career Member of the Senior Foreign Service, Class of Minister-Counselor, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Ghana."
Nominations,09/29/21,https://www.congress.gov/nomination/117th-congress/550,"Jessica Lewis, of Ohio, to be an Assistant Secretary of State (Political-Military Affairs), vice R. Clarke Cooper."
Nominations,09/29/21,https://www.congress.gov/nomination/117th-congress/732,"Sharon L. Cromer, of New York, a Career Member of the Senior Foreign Service, Class of Career Minister, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of The Gambia."
Nominations,09/29/21,https://www.congress.gov/nomination/117th-congress/873,"Kent Doyle Logsdon, of Pennsylvania, a Career Member of the Senior Foreign Service, Class of Minister-Counselor, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Moldova."
Nominations,09/29/21,https://www.congress.gov/nomination/117th-congress/912,"Howard A. Van Vranken, of California, a Career Member of the Senior Foreign Service, Class of Minister-Counselor, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Botswana."
Nominations,09/29/21,https://www.congress.gov/nomination/117th-congress/874,"Atul Atmaram Gawande, of Massachusetts, to be an Assistant Administrator of the United States Agency for International Development, vice Alma L. Golden."
Nominations,09/29/21,https://www.congress.gov/nomination/117th-congress/774,"Claire D. Cronin, of Massachusetts, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to Ireland."
Nominations,09/28/21,https://www.congress.gov/nomination/117th-congress/548,"Karen Erika Donfried, of the District of Columbia, to be an Assistant Secretary of State (European Affairs and Eurasian Affairs), vice A. Wess Mitchell, resigned."
Nominations,09/28/21,https://www.congress.gov/nomination/117th-congress/446,"Monica P. Medina, of Maryland, to be Assistant Secretary of State for Oceans and International Environmental and Scientific Affairs, vice Kerri-Ann Jones, resigned."
Nominations,09/28/21,https://www.congress.gov/nomination/117th-congress/1008, 08/09/2021
Nominations,09/28/21,https://www.congress.gov/nomination/117th-congress/934,"Mark Gitenstein, of Washington, to be Representative of the United States of America to the European Union, with the rank and status of Ambassador Extraordinary and Plenipotentiary."
Nominations,09/28/21,https://www.congress.gov/nomination/117th-congress/781,"Jack A. Markell, of Delaware, to be Representative of the United States of America to the Organization for Economic Cooperation and Development, with the rank of Ambassador."
Nominations,09/28/21,https://www.congress.gov/nomination/117th-congress/447,"Todd D. Robinson, of New Jersey, a Career Member of the Senior Foreign Service, Class of Career Minister, to be an Assistant Secretary of State (International Narcotics and Law Enforcement Affairs), vice Kirsten Dawn Madison."
