category,date,title,url,video
Hearings,02/16/2022,Closed Briefing:  Intelligence Matters,https://www.intelligence.senate.gov/hearings,
Hearings,02/15/2022,Closed Briefing:  Intelligence Matters,https://www.intelligence.senate.gov/hearings,
