category,date,url,content
Legislation,07/20/21,https://www.congress.gov/bill/117th-congress/senate-bill/2403,"A bill to assist those subject to politically motivated charges in Turkey, and for other purposes."
Legislation,07/20/21,https://www.congress.gov/bill/117th-congress/house-bill/826,Divided Families Reunification Act
Legislation,07/20/21,https://www.congress.gov/bill/117th-congress/senate-bill/2391,"A bill to provide for clarification and limitations with respect to the exercise of national security powers, and for other purposes."
Legislation,07/16/21,https://www.foreign.senate.gov/legislation/detail/s65,"A bill to ensure that goods made with forced labor in the Xinjiang Uyghur Autonomous Region of the People's Republic of China do not enter the United States market, and for other purposes."
Legislation,07/15/21,https://www.congress.gov/bill/117th-congress/senate-resolution/303,A resolution supporting the people of Cuba in their demands for freedom and the fulfillment of basic needs and condemning the Communist regime in Cuba.
Legislation,07/15/21,https://www.congress.gov/bill/117th-congress/senate-bill/2374,"A bill to impose sanctions with respect to the Supreme Leader of the Islamic Republic of Iran, Ayatollah Ali Khamenei, and Sayyud Ebrahim Raisol-Sadati, who was elected president of the Islamic Republic of Iran in the 2021 presidential election."
Nominations,07/20/21,,"Mary Catherine Phee, of Illinois, a Career Member of the Senior Foreign Service, Class of Minister-Counselor, to be a Member of the Board of Directors of the African Development Foundation for a term expiring September 27, 2021, vice Linda Thomas-Greenfield, resigned."
Nominations,07/20/21,,"2 nominations, beginning with John Breidenstine, and ending with Michael Lally"
Nominations,07/20/21,,"Caryn R. McClelland, of California, a Career Member of the Senior Foreign Service, Class of Minister-Counselor, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to Brunei Darussalam."
Nominations,07/20/21,,"17 nominations, beginning with Rosemary Gallant, and ending with Eric Wolff"
Nominations,07/20/21,,"Howard A. Van Vranken, of California, a Career Member of the Senior Foreign Service, Class of Minister-Counselor, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Botswana."
Nominations,07/20/21,,"Michael J. Murphy, of New York, a Career Member of the Senior Foreign Service, Class of Minister-Counselor, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to Bosnia and Herzegovina."
Nominations,07/20/21,,"Paloma Adams-Allen, of the District of Columbia, to be a Deputy Administrator of the United States Agency for International Development, vice Bonnie Glick."
Nominations,07/20/21,,"Karen Erika Donfried, of the District of Columbia, to be an Assistant Secretary of State (European Affairs and Eurasian Affairs), vice A. Wess Mitchell, resigned."
Nominations,07/20/21,,"Mary Catherine Phee, of Illinois, a Career Member of the Senior Foreign Service, Class of Minister-Counselor, to be a Member of the Board of Directors of the African Development Foundation for a term expiring September 27, 2026.  (Reappointment)"
Nominations,07/20/21,,"224 nominations, beginning with Ninoshka Abreu Guerra, and ending with Stefanie Nicole Yacubovich"
Nominations,07/20/21,,"Anne A. Witkowsky, of Maryland, to be Coordinator for Reconstruction and Stabilization, vice David Malcolm Robinson."
Nominations,07/20/21,,"Anne A. Witkowsky, of Maryland, to be an Assistant Secretary of State (Conflict and Stabilization Operations), vice Denise Natali."
Nominations,07/20/21,,"Mary Catherine Phee, of Illinois, a Career Member of the Senior Foreign Service, Class of Minister-Counselor, to be an Assistant Secretary of State (African Affairs), vice Tibor Peter Nagy, Jr."
Nominations,07/20/21,,"Bonnie D. Jenkins, of New York, to be Under Secretary of State for Arms Control and International Security, vice Andrea L. Thompson, resigned."
Nominations,07/19/21,,"Janet Louise Yellen, of California, to be United States Governor of the Inter-American Development Bank for a term of five years; United States Governor of the International Bank for Reconstruction and Development for a term of five years; and United States Governor of the International Monetary Fund for a term of five years, vice Steven T. Mnuchin."
Nominations,07/19/21,,"Janet Louise Yellen, of California, to be United States Governor of the European Bank for Reconstruction and Development, vice Steven T. Mnuchin."
Nominations,07/19/21,,"Julie Chung, of California, a Career Member of the Senior Foreign Service, Class of Minister-Counselor, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Democratic Socialist Republic of Sri Lanka."
Nominations,07/15/21,,"Kent Doyle Logsdon, of Pennsylvania, a Career Member of the Senior Foreign Service, Class of Minister-Counselor, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Moldova."
Nominations,07/15/21,,"Atul Atmaram Gawande, of Massachusetts, to be an Assistant Administrator of the United States Agency for International Development, vice Alma L. Golden."
Nominations,07/15/21,,"Jeffry Lane Flake, of Arizona, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Turkey."
