category,date,url,title
minority,8/10/21,http://www.hsgac.senate.gov/media/minority-media/portman-sinema-king-hassan-romney-applaud-senate-passage-of-more-than-20-million-for-the-office-of-national-cyber-director-in-infrastructure-investment-and-jobs-act,"Portman, Sinema, King, Hassan, Romney Applaud Senate Passage of More Than $20 Million for the Office of National Cyber Director in Infrastructure Investment & Jobs Act"
majority,8/10/21,http://www.hsgac.senate.gov/media/majority-media/peters-provisions-to-strengthen-cybersecurity-pass-senate-as-a-part-of-bipartisan-infrastructure-bill_-,Peters Provisions to Strengthen Cybersecurity Pass Senate as a Part of Bipartisan Infrastructure Bill
majority,8/10/21,http://www.hsgac.senate.gov/media/majority-media/peters-secures-500-million-to-help-michigan-communities-address-shoreline-erosion-and-flooding-in-senate-passed-bipartisan-infrastructure-bill,Peters Secures $500 Million to Help Michigan Communities Address Shoreline Erosion and Flooding in Senate-Passed Bipartisan Infrastructure Bill
majority,8/10/21,http://www.hsgac.senate.gov/media/majority-media/peters-scott-bipartisan-legislation-to-help-protect-k-12-school-systems-from-cyber-attacks-passes-senate,"Peters, Scott Bipartisan Legislation to Help Protect K-12 School Systems from Cyber-Attacks Passes Senate"
