category,date,url,title
minority,11/17/21,https://www.finance.senate.gov/ranking-members-news/crapo-statement-at-executive-session-to-vote-on-treasury-ustr-and-hhs-nominees,"Crapo Statement at Executive Session to Vote on Treasury, USTR, and HHS Nominees"
minority,11/16/21,https://www.finance.senate.gov/ranking-members-news/jct-confirms-majority-of-democrats-tax-relief-goes-to-wealthy,JCT Confirms Majority of Democrats’ Tax Relief Goes to Wealthy
minority,11/16/21,https://www.finance.senate.gov/ranking-members-news/crapo-statement-at-nomination-hearing-111621,Crapo Statement at Nomination Hearing
majority,11/18/21,https://www.finance.senate.gov/chairmans-news/wyden-statement-on-hhs-overturning-trump-era-waivers-allowing-for-taxpayer-funded-discrimination-in-child-welfare-and-reestablishing-nondiscrimination-policies-across-the-agency,Wyden statement on HHS overturning Trump-era waivers allowing for taxpayer-funded discrimination in child welfare and reestablishing nondiscrimination policies across the agency
majority,11/18/21,https://www.finance.senate.gov/chairmans-news/wyden-statement-on-revenue-from-increased-irs-enforcement-against-wealthy-tax-cheats,Wyden Statement on Revenue from Increased IRS Enforcement Against Wealthy Tax Cheats
hearings,11/17/21,https://www.finance.senate.gov/hearings/open-executive-session-to-consider-favorably-reporting-pending-nominations22,Open Executive Session to Consider Favorably Reporting Pending Nominations
hearings,11/16/21,https://www.finance.senate.gov/hearings/hearing-to-consider-the-nomination-of-lisa-w-wang-of-the-district-of-columbia-to-be-an-assistant-secretary-of-commerce-vice-jeffrey-kessler,"Hearing to Consider the Nominations of The Honorable Maria Louise Lago, of New York, to be Under Secretary of Commerce for International Trade and Lisa W. Wang, of the District of Columbia, to be an Assistant Secretary of Commerce"
