category,date,title,url,summary
Majority Press Releases,"September 28, 2021",Chair Norton Statement from Hearing on Examining the Role of Ferries in Improving Mobility,https://transportation.house.gov/news/press-releases/chair-norton-statement-from-hearing-on-examining-the-role-of-ferries-in-improving-mobility,"Washington, D.C. - The following are opening remarks, as prepared for delivery, from Chair of the Subcommittee on Highways and Transit Eleanor Holmes Norton (D-DC) during today's hearing titled, ""Examining the Role of Ferries in Improving Mobility."" Video of Norton's opening statement is here. More information on the hearing can be found here.Chair Norton:Welcome to today's hearing examining the role of ferries in mobility. While the Subcommittee on Highways and Transit currently oversees … "
Majority Hearings,Sep 30 2021,,https://transportation.house.gov/committee-activity/hearings/assessing-the-federal-governments-covid-19-relief-and-response-efforts-and-its-impact_part-ii,
Majority Press Releases,"September 24, 2021",Chair DeFazio Announces Second Hearing in a Two-Part Series to Assess the Federal Government’s COVID-19 Relief and Response Efforts,https://transportation.house.gov/news/press-releases/chair-defazio-announces-second-hearing-in-a-two-part-series-to-assess-the-federal-governments-covid-19-relief-and-response-efforts,"Washington, DC - Today, Chair of the House Committee on Transportation and Infrastructure Peter DeFazio (D-OR) announced the committee will hold a hearing titled, ""Assessing the Federal Government's COVID-19 Relief and Response Efforts and its Impact - Part II."" This is the second hearing in a two-part series focused on examining the impact of the federal relief and response efforts to the COVID-19 pandemic on the transportation and infrastructure sectors and its workers.More information … "
Majority Press Releases,"September 24, 2021","Chairs DeFazio, Norton Announce Subcommittee Hearing on Examining the Role of Ferries in Improving Mobility",https://transportation.house.gov/news/press-releases/chairs-defazio-norton-announce-subcommittee-hearing-on-examining-the-role-of-ferries-in-improving-mobility,"Washington, DC- Today, Chair of the House Committee on Transportation and Infrastructure Peter DeFazio (D-OR) and Chair of the Subcommittee on Highways and Transit Eleanor Holmes Norton (D-DC) announced the subcommittee will hold a hearing titled, ""Examining the Role of Ferries in Improving Mobility."" This hearing will explore the role of ferry transportation in reducing congestion and contributing to clean mobility alternatives, and the federal programs that support this mode of … "
Majority Press Releases,"September 23, 2021","Chairs DeFazio, Larsen Statements from Subcommittee Hearing on the Surge in Air Rage and its Effects on Workers, Airlines, and Airports",https://transportation.house.gov/news/press-releases/chairs-defazio-larsen-statements-from-subcommittee-hearing-on-the-surge-in-air-rage-and-its-effects-on-workers-airlines-and-airports,"Washington, D.C. - The following are opening remarks, as prepared for delivery, from Chair of the House Committee on Transportation and Infrastructure Peter DeFazio (D-OR) and Chair of the Subcommittee on Aviation Rick Larsen (D-WA) during today's hearing titled, ""Disruption in the Skies: The Surge in Air Rage and its Effects on Workers, Airlines, and Airports."" Videos of DeFazio and Larsen's opening statements are here and here. More information on the hearing can be found here.Chair … "
Majority Hearings,Sep 28 2021,,https://transportation.house.gov/committee-activity/hearings/examining-the-role-of-ferries-in-improving-mobility,
Majority Hearings,Sep 23 2021,,https://transportation.house.gov/committee-activity/hearings/disruption-in-the-skies-the-surge-in-air-rage-and-its-effects-on-workers-airlines-and-airports,
Minority Press Releases,"September 28, 2021",Davis Statement from Hearing on the Role of Ferry Transportation,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405628,
Minority Press Releases,"September 23, 2021",Ranking Member Garret Graves Statement from Hearing on Air Rage,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405627,
Minority Hearings,"September 30, 2021",Assessing the Federal Government’s COVID-19 Relief and Response Efforts and its Impact – Part II,https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405626,
Minority Hearings,"September 28, 2021",Examining the Role of Ferries in Improving Mobility,https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405625,
Minority Hearings,"September 23, 2021","Disruption in the Skies: The Surge in Air Rage and its Effects on Workers, Airlines, and Airports",https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405622,
