category,date,time,title,urls
Hearing,3/2/22,10:00 AM,The 2001 AUMF and War Powers: The Path Forward,https://foreignaffairs.house.gov/hearings?ID=63A05C6D-C6D7-4047-AA8E-334EBE265A2E
Press Release,3/1/22,,Chairman Meeks Releases March HFAC Schedule,https://foreignaffairs.house.gov/press-releases?ID=4EBB691A-63A5-4C6A-9636-0BCAC2B16B78
Hearing,3/1/22,3:00 PM,HFAC Members Briefing on Developing an Indo-Pacific Economic Framework,https://foreignaffairs.house.gov/hearings?ID=163E2DC7-36FA-4F1F-99BA-558E5FB0B0C6
Press Release,2/28/22,,"Meeks, McCaul, Bera, and Chabot Issue Statement on the One-Year Anniversary of the Mass Arrests of Hong Kong Pro-democracy Leaders",https://foreignaffairs.house.gov/press-releases?ID=602CBACD-EE55-4152-B89B-6FF47BCC482D
Press Release,2/24/22,,Meeks Issues Statement on US Response to Russia’s Invasion of Ukraine,https://foreignaffairs.house.gov/press-releases?ID=0FD8C555-B71B-473B-91FD-1A55DF29F53C
