category,date,title,url,summary
Press Releases,09.14.21,McCaul Hires Investigator to Probe Disastrous Withdrawal from Afghanistan,https://gop-foreignaffairs.house.gov/press-release/mccaul-hires-investigator-to-probe-disastrous-withdrawal-from-afghanistan/,"Washington, D.C. – House Foreign Affairs Committee Lead Republican Michael McCaul has hired Ryan Browne to serve as the investigator into the disastrous withdrawal from Afghanistan that has played…"
Press Releases,09.13.21,McCaul: “I Can Summarize This in One Word: Betrayal.”,https://gop-foreignaffairs.house.gov/press-release/mccaul-i-can-summarize-this-in-one-word-betrayal/,"Washington, D.C.- Today, House Foreign Affairs Committee Lead Republican Michael McCaul pressed Secretary Blinken on the Biden Administration’s failed leadership in Afghanistan at a full committee…"
Press Releases,09.12.21,McCaul Talks Afghanistan and Origins of COVID-19 on Sunday Morning Futures,https://gop-foreignaffairs.house.gov/press-release/mccaul-talks-afghanistan-and-origins-of-covid-19-on-sunday-morning-futures/,"Washington, D.C.- House Foreign Affairs Committee Lead Republican Michael McCaul joined Maria Bartiromo on Sunday Morning Futures to discuss the Biden Administration’s failure to safely withdraw…"
Press Releases,09.10.21,McCaul Pushes for Answers on USAID Operations in Afghanistan in Letter to Administrator Power,https://gop-foreignaffairs.house.gov/press-release/mccaul-pushes-for-answers-on-usaid-operations-in-afghanistan-in-letter-to-administrator-power/,"Washington, D.C.- House Foreign Affairs Committee Lead Republican Michael McCaul sent a letter to USAID Administrator Power, seeking information on USAID’s operations in Afghanistan in the months…"
Press Releases,09.10.21,McCaul Statement on Recent Events in Ethiopia,https://gop-foreignaffairs.house.gov/press-release/mccaul-statement-on-recent-events-in-ethiopia/,"Washington, D.C.- House Foreign Affairs Committee Lead Republican Michael McCaul has issued the following statement following continued fighting in Ethiopia. Since the conflict began in November…"
Press Releases,09.09.21,McCaul Calls Out Misleading Answers from Under Secretary Pelter at U.S.-China Economic and Security Review Commission Hearing,https://gop-foreignaffairs.house.gov/press-release/mccaul-calls-out-misleading-answers-from-under-secretary-pelter-at-u-s-china-economic-and-security-review-commission-hearing/,"Washington, D.C. – House Foreign Affairs Committee Lead Republican Michael McCaul has issued the following statement, to draw attention to the misleading claims made by Bureau of Industry and…"
Press Releases,09.08.21,McCaul Leads Letter to Secretary Yellen Emphasizing the Importance of Maintaining US Sanctions Against Taliban,https://gop-foreignaffairs.house.gov/press-release/mccaul-leads-letter-to-secretary-yellen-emphasizing-the-importance-of-maintaining-us-sanctions-against-taliban/,"Washington, D.C.- House Foreign Affairs Committee Lead Republican Michael McCaul led committee Republicans in a letter to Secretary Yellen to emphasize the importance of maintaining the United States…"
Markups,"Monday, September 13, 2021",Afghanistan 2001- 2021: Evaluating the Withdrawal and U.S. Policies – Part 1,https://gop-foreignaffairs.house.gov/hearing/afghanistan-2001-2021-evaluating-the-withdrawal-and-u-s-policies-part-1/,
