category,date,title,url,description
Press Releases,"September 29, 2021",Katko Opening Statement in Hearing on the State of the  Transportation Security Administration,https://republicans-homeland.house.gov/katko-opening-statement-in-hearing-on-the-state-of-the-transportation-security-administration/,"Katko Opening Statement in Hearing on the State of the Transportation Security Administration WASHINGTON, DC – Rep. John Katko..."
Press Releases,"September 29, 2021",Katko Opening Statement in Hearing on the State of the  Transportation Security Administration,https://republicans-homeland.house.gov/katko-opening-statement-in-hearing-on-the-state-of-the-transportation-security-administration/,"Katko Opening Statement in Hearing on the State of the Transportation Security Administration WASHINGTON, DC – Rep. John Katko..."
