category,date,title,url
Hearing,Nov 2 2021,20 Years After 9/11: Examining Emergency Communications Part 2,https://homeland.house.gov/activities/hearings/20-years-after-9/11-examining-emergency-communications-part-2
Hearing,Oct 27 2021,"Ensuring Equity in Disaster Preparedness, Response, and Recovery",https://homeland.house.gov/activities/hearings/ensuring-equity-in-disaster-preparedness-response-and-recovery
Hearing,Oct 26 2021,"Transportation Cybersecurity: Protecting Planes, Trains, and Pipelines from Cyber Threats",https://homeland.house.gov/activities/hearings/transportation-cybersecurity-protecting-planes-trains-and-pipelines-from-cyber-threats
Hearing,Oct 22 2021,Member Day Hearing,https://homeland.house.gov/activities/hearings/member-day-hearing
Hearing,Oct 21 2021,Operation Allies Welcome: Examining DHS’s Efforts to Resettle Vulnerable Afghans,https://homeland.house.gov/activities/hearings/operation-allies-welcome-examining-dhss-efforts-to-resettle-vulnerable-afghans
Markup,Oct 26 2021,"Markup of H.R. 4349, H.R. 4476, H.R. 5574, H.R. 5615, H.R. 5616, H.R. 5633, H.R. 5652, H.R. 5658, H.R. 5681, H.R. 5682, H.R. 5683, S. 658",https://homeland.house.gov/activities/markups/markup-of-hr-4349-hr-4476-hr-5574-hr-5615-hr-5616-hr-5633-hr-5652-hr-5658-hr-5681-hr-5682-hr-5683-s-658
