category,date,title,url,summary
Press Releases,10.29.21,"McCaul, Meeks Issue Joint Statement on Feed the Future Week",https://gop-foreignaffairs.house.gov/press-release/mccaul-meeks-issue-joint-statement-on-feed-the-future-week/,"Washington, D.C.– Today, House Foreign Affairs Committee Lead Republican Michael McCaul and Chairman Gregory Meeks released the following statement on Feed the Future week. Feed the Future, an…"
Press Releases,10.28.21,McCaul Demands Answers on USAGM Personnel and Management,https://gop-foreignaffairs.house.gov/press-release/mccaul-demands-answers-on-usagm-personnel-and-management/,"Washington, D.C. – House Foreign Affairs Committee Lead Republican Michael McCaul led a letter to U.S. Agency for Global Media (USGM) Acting Chief Executive Officer Kelu Chao demanding answers on…"
Press Releases,10.28.21,Rep. McCaul: “The U.S. Must Consistently Prove Itself to be the Preferred Partner for the Developing World”,https://gop-foreignaffairs.house.gov/press-release/rep-mccaul-the-u-s-must-consistently-prove-itself-to-be-the-preferred-partner-for-the-developing-world/,"Washington, D.C.- Yesterday, House Foreign Affairs Committee Lead Republican Michael McCaul delivered the following opening statement at a full committee hearing on the Biden Administration’s FY22…"
Markups,"Wednesday, November 17, 2021",The FY22 Budget: State Department Counterterrorism Bureau,https://gop-foreignaffairs.house.gov/hearing/the-fy22-budget-state-department-counterterrorism-bureau/,
Markups,"Tuesday, November 16, 2021",The Biden Administration’s Policy Priorities for Latin America and the Caribbean,https://gop-foreignaffairs.house.gov/hearing/the-biden-administrations-policy-priorities-for-latin-america-and-the-caribbean/,
Markups,"Wednesday, November 3, 2021","Assessing Progress and Challenges in State Department Management, Operations, and Reforms",https://gop-foreignaffairs.house.gov/hearing/assessing-progress-and-challenges-in-state-department-management-operations-and-reforms/,
Markups,"Thursday, October 28, 2021",U.S. Engagement in the Western Balkans,https://gop-foreignaffairs.house.gov/hearing/u-s-engagement-in-the-western-balkans/,
Markups,"Wednesday, October 27, 2021","The Administration’s FY22 Budget Request for the Peace Corps, Development Finance Corporation, and Millennium Challenge Corporation",https://gop-foreignaffairs.house.gov/hearing/the-administrations-fy22-budget-request-for-the-peace-corps-development-finance-corporation-and-millennium-challenge-corporation/,
