category,date,title,url
Hearings,"March 30, 2022",Space Situational Awareness: Guiding the Transition to a Civil Capability,https://science.house.gov/hearings/space-situational-awareness-guiding-the-transition-to-a-civil-capability
Hearings,"March 31, 2022",The New Normal: Preparing for and Adapting to the Next Phase of COVID-19,https://science.house.gov/hearings/the-new-normal-preparing-for-and-adapting-to-the-next-phase-of-covid-19
