category,date,title,url,description
Press Releases,11.19.2021,"E&C Republicans Demand Oversight of Democrats’ Unprecedented, Partisan FCC Funding",https://republicans-energycommerce.house.gov/news/letter/ec-republicans-demand-oversight-of-democrats-unprecedented-partisan-fcc-funding/,"Washington, D.C.--Today, House Energy and Commerce Committee Republican Leader Cathy McMorris Rodgers (R-WA) and Communications and Technology Subcommittee Republican Leader Bob Latta (R-OH) sent a letter to Committee Chairman Frank Pallone (D-NJ) and Subcommittee Chairman Michael Doyle (D-PA) urging them to hold a Federal Communications Commission (FCC) oversight hearing to address the unprecedented influx of funding to the commission.  "
Press Releases,11.19.2021,"Leader Rodgers Statement on Biden, Democrats’ Radical Agenda to Transform America",https://republicans-energycommerce.house.gov/news/leader-rodgers-statement-on-biden-democrats-radical-agenda-to-transform-america/,Washington D.C. — Energy and Commerce Republican Leader Cathy McMorris Rodgers (R-WA) released the following statement about Speaker Pelosi’s grand socialist agenda.
Press Releases,11.18.2021,Leader Rodgers Statement on CBO Estimates of E&C Provisions in the Tax and Spending Spree,https://republicans-energycommerce.house.gov/news/leader-rodgers-statement-on-cbo-estimates-of-ec-provisions-in-the-tax-and-spending-spree/,"Washington, D.C. — Energy and Commerce Republican Leader Cathy McMorris Rodgers (R-WA) released the following statement regarding the Congressional Budget Office’s table of Energy and Commerce provisions in the tax and spending spree."
Press Releases,11.18.2021,Families Need Hope – Not a Government That Has Power Over Life and Death,https://republicans-energycommerce.house.gov/news/press-release/families-need-hope-not-a-government-that-has-power-over-life-and-death/,"Ever since her signature socialist price control scheme, H.R. 3, failed with a bipartisan vote in..."
Press Releases,11.17.2021,Leader Rodgers: Socialism Controls. Freedom Creates.,https://republicans-energycommerce.house.gov/news/leader-rodgers-socialism-controls-freedom-creates/,“The radical tax and spending spree will accelerate the inflation crisis and energy crisis.”
Press Releases,11.17.2021,Leader Rodgers Opening Remarks at Full Committee Markup of 12 Bills,https://republicans-energycommerce.house.gov/news/leader-rodgers-opening-remarks-at-full-committee-markup-of-12-bills/,"Washington, D.C. — Energy and Commerce Committee Republican Leader Cathy McMorris Rodgers (R-WA) delivered remarks in today’s full committee markup of 12 pieces of legislation."
Press Releases,11.16.2021,"Lawmakers Request Biden Administration to Brief Congress on Sweeping, Cure-Killing Provisions and Their Costs",https://republicans-energycommerce.house.gov/news/lawmakers-request-biden-administration-to-brief-congress-on-sweeping-cure-killing-provisions-and-their-costs/,"Washington, D.C. — Lawmakers are urging the Biden Administration to provide greater information and analysis in their rush towards a drug pricing scheme that would dramatically change how the United States pays for drugs and upend the incentives that exist today for innovation and generic and biosimilar competition. "
Press Releases,11.16.2021,Leaders McKinley and Upton Opening Remarks in Joint Subcommittee Hearing on Energy Supply Chains,https://republicans-energycommerce.house.gov/news/leader-mckinley-and-upton-opening-remarks-in-joint-subcommittee-hearing-on-energy-supply-chains/,"Washington, D.C. — In a joint Subcommittee on Environment and Climate Change and Subcommittee on Energy hearing on supply chains for renewable energy sources, Republican Leaders David B. McKinley (R-WV) and Fred Upton (R-MI) spoke about the need to secure American energy and its supply chains."
Markups,"November 17, 2021",Full Committee Markup,https://republicans-energycommerce.house.gov/markups/full-committee-markup-2/,https://youtu.be/Bc9uZl9MSTk
Hearings,"November 16, 2021",Securing America’s Future: Supply Chain Solutions for a Clean Energy Economy,https://republicans-energycommerce.house.gov/hearings/securing-americas-future-supply-chain-solutions-for-a-clean-energy-economy/,https://youtu.be/U3bVmGHv_Ck
