category,date,time,title,urls
Press Release,10/29/21,,"Meeks, McCaul Issue Joint Statement on Feed the Future Week",https://foreignaffairs.house.gov/press-releases?ID=15A2A995-5E42-4E48-A896-B9929EB72EE8
Hearing,11/3/21,10:00 AM,"Assessing Progress and Challenges in State Department Management, Operations, and Reforms",https://foreignaffairs.house.gov/hearings?ID=050856FB-5C99-4A8C-AAB2-94DA6A62D7E3
Hearing,10/28/21,10:00 AM,U.S. Engagement in the Western Balkans,https://foreignaffairs.house.gov/hearings?ID=214A05BA-EDC5-4CBE-95E7-7C8ED7790489
Hearing,10/27/21,2:00 PM,"The Administration’s FY22 Budget Request for the Peace Corps, Development Finance Corporation, and Millennium Challenge Corporation",https://foreignaffairs.house.gov/hearings?ID=ACD4477B-41A5-4E08-8383-FFC6A5A8D3AA
Hearing,10/27/21,10:00 AM,Combating Global Human Trafficking,https://foreignaffairs.house.gov/hearings?ID=211CF89A-B7AF-4940-9677-8CAE200F7310
Press Release,10/28/21,,"Reps. Meeks, Nadler, and Jeffries Urge State Department to Share Information on the Failed Deportation of Convicted Nazis",https://foreignaffairs.house.gov/press-releases?ID=184798E0-2A3C-4540-AAE4-4F977EC52CF1
Press Release,10/27/21,,"Chair Meeks Opening and Closing Remarks for ""The Administration’s FY22 Budget Request for the Peace Corps, Development Finance Corporation, and Millennium Challenge Corporation""",https://foreignaffairs.house.gov/press-releases?ID=6AAB2404-4821-4827-9E44-101A936A866E
