category,date,title,url
Hearing,May 26 2022,The State of the Transportation Security Administration,https://homeland.house.gov/activities/hearings/the-state-of-the-transportation-security-administration
Hearing,May 24 2022,Examining DHS’ Efforts to Improve Processing for International Visitors,https://homeland.house.gov/activities/hearings/examining-dhs-efforts-to-improve-processing-for-international-visitors
Markup,May 19 2022,"Markup of H.R. 5274, H.R. 7174, H.R. 7777, H.R. 7778, and H.R. 7779",https://homeland.house.gov/activities/markups/mark-up-of-hr-5274-hr-7174-hr-7777-hr-7778-and-hr-7779
