category,date,time,title,urls
Press Release,3/21/22,,Meeks Issues Statement on the Determination of Genocide Against the Rohingya ,https://foreignaffairs.house.gov/press-releases?ID=E09DC22B-36ED-47E9-8166-E4191A60AEC4
Press Release,3/18/22,,"Meeks, Sires Issue Statement Commemorating the 200th Anniversary of Diplomatic Relations Between the United States and Colombia",https://foreignaffairs.house.gov/press-releases?ID=C825209F-8C3D-4711-B4A2-1ABD403BD1C9
Press Release,3/17/22,,"Meeks, McCaul Encourage Admin to Prioritize Upcoming DRC Elections",https://foreignaffairs.house.gov/press-releases?ID=51360FD1-6102-4D18-8238-A18AF3744742
Hearing,3/31/22,2:00 PM,Present Challenges and Progress on COVID-19 in Africa,https://foreignaffairs.house.gov/hearings?ID=7EBF60F1-143B-423D-A31C-0E50DCB3600E
Hearing,3/31/22,10:00 AM,Opportunities and Challenges in the Eastern Mediterranean: Examining U.S. Interests and Regional Cooperation,https://foreignaffairs.house.gov/hearings?ID=CEA2B0D5-137D-4A63-90A2-CD643C816B0C
Hearing,3/30/22,2:00 PM,Implications of the Ukraine Crisis for US Policy in the Indo Pacific,https://foreignaffairs.house.gov/hearings?ID=C202E97C-2721-41D1-A655-A7A55C744C40
Hearing,3/30/22,10:00 AM,Members-Only Classified Briefing on Security Assistance.,https://foreignaffairs.house.gov/hearings?ID=36A3540C-FE06-46A5-ABB1-1597954F0BCF
Hearing,3/29/22,2:00 PM,*postponed* Roundtable: Leading the Way: Women-Driven Initiatives in Latin America and the Caribbean,https://foreignaffairs.house.gov/hearings?ID=CE24E08D-668E-4B60-BF07-B6580C39D076
Hearing,3/18/22,9:00 AM,Closed Briefing on Yemen,https://foreignaffairs.house.gov/hearings?ID=BB967C96-448F-4174-9036-94E6F02D420A
Hearing,3/17/22,10:00 AM,Members-Only Classified Briefing on Iran Nuclear and Regional Activities,https://foreignaffairs.house.gov/hearings?ID=5061198B-4FB4-4D86-8D98-192BF62FB65F
