category,date,title,url,summary
Press Releases,03.01.22,McCaul: Biden’s Foreign Policy Failures are Front and Center on the World Stage,https://gop-foreignaffairs.house.gov/press-release/mccaul-bidens-foreign-policy-failures-are-front-and-center-on-the-world-stage/,"Washington, D.C. – House Foreign Affairs Committee Lead Republican Michael McCaul has released the following statement ahead of President Biden’s State of the Union speech tonight.  "
Press Releases,03.01.22,"McCaul, HFAC Republicans Express Concern for Safety of American Citizens in Ukraine",https://gop-foreignaffairs.house.gov/press-release/mccaul-hfac-republicans-express-concern-for-safety-of-american-citizens-in-ukraine/,"Washington, D.C.- House Foreign Affairs Committee Lead Republican Michael McCaul (R-TX) and other HFAC Republicans sent a letter to Secretary of State Antony Blinken expressing their concern for the…"
Press Releases,02.28.22,"McCaul, Meeks, Chabot, Bera Issue Statement on the One-Year Anniversary of the Mass Arrests of Hong Kong Pro-democracy Leaders",https://gop-foreignaffairs.house.gov/press-release/mccaul-meeks-chabot-bera-issue-statement-on-the-one-year-anniversary-of-the-mass-arrests-of-hong-kong-pro-democracy-leaders/,"Washington, D.C. – Today, House Foreign Affairs Committee Lead Republican Michael McCaul (R-TX) and Chairman Gregory W. Meeks (D-NY) along with the Subcommittee on Asia, the Pacific, Central Asia,…"
Press Releases,02.25.22,TUNE IN: McCaul Joining Sunday Morning Futures on Fox News this Sunday at 10amET/9amCT,https://gop-foreignaffairs.house.gov/press-release/tune-in-mccaul-joining-sunday-morning-futures-on-fox-news-this-sunday-at-10amet-9amct/,"Washington, D.C. – House Foreign Affairs Committee Lead Republican Michael McCaul will join Maria Bartiromo on Fox News’ “Sunday Morning Futures” this Sunday, February 27 at 10amET/9amCT. Rep…."
Press Releases,02.24.22,"McCaul, Rogers Urge Harsher Sanctions on Russia",https://gop-foreignaffairs.house.gov/press-release/mccaul-rogers-urge-harsher-sanctions-on-russia/,"Washington, D.C. – House Foreign Affairs Committee Lead Republican Michael McCaul (R-TX) and House Armed Services Committee Lead Republican Mike Rogers (R-AL) released a statement calling for…"
