category,date,title,url,summary
Press Release,"January 20, 2022",Waters Announces Update to January Committee Schedule,https://financialservices.house.gov/news/documentsingle.aspx?DocumentID=408958,"Today, Congresswoman Maxine Waters (D-CA), Chairwoman of the House Committee on Financial Services, announced the following update to the schedule for the month of January: POSTPONED - January 20 at 10:00 AM ET: The Subcommittee on Housing, Community Development and Insurance will convene for a virtual hearing entitled, “Housing America: Addressing Challenges in Serving People Experiencing Homeles... "
Press Release,"January 19, 2022",House Passes Two Bipartisan Financial Services Bills,https://financialservices.house.gov/news/documentsingle.aspx?DocumentID=408957,"This week, the U.S. House of Representatives passed two bipartisan House Financial Services Committee bills. The Ghost Army Congressional Gold Medal Act (S. 1404), a bill by Senator Edward Markey (D-MA). This bill provides for the award of a Congressional Gold Medal to the 23rd Headquarters Special Troops and the 3133rd Signal Services Company, known collectively as the Ghost Army, in recognition ... "
Press Release,"January 18, 2022",Waters and Warner Urge the Federal Reserve to Provide Guidance to Maximize Impact of Investments to Support Diverse and Mission-Driven Community Financial Institutions,https://financialservices.house.gov/news/documentsingle.aspx?DocumentID=408951,"Today, Congresswoman Maxine Waters (D-CA), Chairwoman of the House Financial Services Committee, and Senator Mark Warner (D-VA) sent a letter to Federal Reserve Chair Jerome Powell to urge the Federal Reserve to provide guidance as soon as possible to Subchapter S and Mutual bank Emergency Capital Investment Program (ECIP) recipients on concerns they raised. Chairwoman Waters led the effort in Con... "
Press Release,"January 18, 2022","Waters Statement on $1.85 Billion, Multistate Navient Settlement",https://financialservices.house.gov/news/documentsingle.aspx?DocumentID=408943,"Today, Congresswoman Maxine Waters (D-CA), Chairwoman of the House Committee on Financial Services, released the following statement in response to the multistate settlement reached with Navient, one of the largest student loan servicers in the country, related to allegations of predatory lending and unfair student loan servicing practices that harmed borrowers nationwide: “Last week, thousands of... "
Press Release,"January 14, 2022",Waters Applauds California’s Use of Federal Homeowner Assistance Fund for the California Mortgage Relief Program,https://financialservices.house.gov/news/documentsingle.aspx?DocumentID=408933,"Congresswoman Maxine Waters (D-CA), Chairwoman of the House Financial Services Committee, released a statement regarding the launch of the largest mortgage relief program in the country, the California Mortgage Relief Program, which will help tens of thousands of California homeowners avoid foreclosure. Chairwoman Waters and the Committee on Financial Services worked tirelessly to secure $10 billi... "
Press Release,"January 14, 2022","Waters Applauds Nominations of Sarah Bloom Raskin, Lisa Cook, and Philip Jefferson to Leadership Roles in the Federal Reserve ",https://financialservices.house.gov/news/documentsingle.aspx?DocumentID=408932,"Today, Congresswoman Maxine Waters (D-CA), Chairwoman of the House Financial Services Committee, released a statement applauding President Biden’s nomination of Sarah Bloom Raskin, Lisa Cook, and Philip Jefferson to key leadership roles within the Federal Reserve. “I am pleased that President Biden has decided to nominate Sarah Bloom Raskin to be Vice Chair for Supervision of the Board of Governor... "
