category,date,title,url
Majority Hearings,Mar 21 2022,,https://transportation.house.gov/committee-activity/hearings/a-review-of-coast-guard-efforts-to-improve-small-passenger-vessel-safety
Majority Hearings,Mar 17 2022,,https://transportation.house.gov/committee-activity/hearings/aviation-noise-measuring-progress-in-addressing-community-concerns
Majority Press Releases,"March 16, 2022",T&I Members Request Regular Briefings with FAA on 5G Deployment,https://transportation.house.gov/news/press-releases/tandi-members-request-regular-briefings-with-faa-on-5g-deployment
Majority Press Releases,"March 16, 2022","Chairs DeFazio, Napolitano Statements from Members’ Day Hearing for WRDA 2022",https://transportation.house.gov/news/press-releases/chairs-defazio-napolitano-statements-from-members-day-hearing-for-wrda-2022
Majority Press Releases,"March 11, 2022",Chairs DeFazio and Larsen Announce Hearing on Mitigating Aviation Noise,https://transportation.house.gov/news/press-releases/chairs-defazio-and-larsen-announce-hearing-on-mitigating-aviation-noise
Majority Press Releases,"March 11, 2022","Chairs DeFazio, Napolitano Announce Members’ Day Hearing on Proposals for WRDA 2022",https://transportation.house.gov/news/press-releases/chairs-defazio-napolitano-announce-members-day-hearing-on-proposals-for-wrda-2022
Minority Press Releases,"March 16, 2022",Rouzer Statement from WRDA 2022 Members’ Day Hearing,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405820
Minority Press Releases,"March 16, 2022",T&I Members Request Regular Briefings with FAA on 5G Deployment,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405821
Minority Press Releases,"March 15, 2022",What They Are Saying: Industries Join 200+ House Republicans in Calling on Biden Administration to Halt WOTUS Expansion,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405818
Majority Hearings,Mar 16 2022,,https://transportation.house.gov/committee-activity/hearings/proposals-for-a-water-resources-development-act-of-2022-members-day-hearing
Minority Hearings,"March 17, 2022",Aviation Noise: Measuring Progress in Addressing Community Concerns,https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405816
Minority Hearings,"March 16, 2022",Proposals for a Water Resources Development Act of 2022: Members’ Day Hearing,https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405807
