category,date,title,url
News,"Sep 21, 2021",Opening Statement of Ranking Member Brian Babin at Space & Aeronautics Subcommittee Hearing on the Future of the ISS,https://republicans-science.house.gov/news/opening-statements/opening-statement-ranking-member-brian-babin-space-aeronautics-2
News,"Sep 16, 2021","ICYMI: Congressman Lucas, NSF Director Tour OSU Research Facilities",https://republicans-science.house.gov/news/press-releases/icymi-congressman-lucas-nsf-director-tour-osu-research-facilities
Hearings,09/21/2021,Space & Aeronautics Subcommittee Hearing - NASA's Future in Low Earth Orbit: Considerations for ISS Extension & Transition,https://republicans-science.house.gov/legislation/hearings/space-aeronautics-subcommittee-hearing-nasas-future-low-earth-orbit
Hearings,09/23/2021,Environment Subcommittee Hearing - Advancing Earth System Science and Stewardship at NOAA,https://republicans-science.house.gov/legislation/hearings/environment-subcommittee-hearing-advancing-earth-system-science-and-stewardship
Hearings,09/28/2021,Investigations & Oversight Subcommittee Hearing - The Disinformation Black Box: Researching Social Media Data,https://republicans-science.house.gov/legislation/hearings/investigations-oversight-subcommittee-hearing-disinformation-black-box
