category,date,title,url,summary
Press Releases,04.04.22,McCaul: “No Country Can Remain Neutral in the Face of Such Evil”,https://gop-foreignaffairs.house.gov/press-release/mccaul-no-country-can-remain-neutral-in-the-face-of-such-evil/,"Washington, D.C. – House Foreign Affairs Committee Lead Republican Michael McCaul has released the following statement on the reports of horrific actions by Russian forces inflicted in the Ukrainian…"
Press Releases,04.01.22,McCaul Speaks in Favor of Motion to Block Taxpayer Dollars from Funding CCP Military and Human Rights Abusers,https://gop-foreignaffairs.house.gov/press-release/mccaul-speaks-in-favor-of-motion-to-block-taxpayer-dollars-from-funding-ccp-military-and-human-rights-abusers/,"Washington, D.C.- House Foreign Affairs Committee Lead Republican Michael McCaul spoke on the House floor in favor of a Motion to Instruct that would block billions of dollars from going to Chinese…"
Press Releases,04.01.22,"McCaul, Meijer on Admin Implementation of the Global Fragility Act",https://gop-foreignaffairs.house.gov/press-release/mccaul-meijer-on-admin-implementation-of-the-global-fragility-act/,"Washington, D.C. – Today, House Foreign Affairs Committee Lead Republican Michael McCaul (R-TX) and Congressman Peter Meijer (R-MI) issued a statement on the administration’s announcement of…"
Press Releases,04.01.22,"McCaul, Meeks, Risch, Menendez Statement on President Saied’s Tactics to Dissolve Tunisia’s Parliamentary Body",https://gop-foreignaffairs.house.gov/press-release/mccaul-meeks-risch-menendez-statement-on-president-saieds-tactics-to-dissolve-tunisias-parliamentary-body/,"Washington, D.C. – House Foreign Affairs Committee Ranking Member Michael McCaul (R-TX) and Chairman Gregory Meeks (D-NY) along with Senate Foreign Relations Committee Ranking Member Jim Risch…"
Press Releases,04.01.22,"McCaul, Meeks Introduce Russia Cryptocurrency Transparency Act",https://gop-foreignaffairs.house.gov/press-release/mccaul-meeks-introduce-russia-cryptocurrency-transparency-act/,"Washington, D.C. – Today, House Foreign Affairs Committee Lead Republican Michael McCaul (R-TX) and Chairman Gregory Meeks (D-NY) introduced the Russia Cryptocurrency Transparency Act, bipartisan…"
Press Releases,03.31.22,"McCaul, Meeks Introduce Legislation to Hold Putin Accountable for Potential War Crimes",https://gop-foreignaffairs.house.gov/press-release/mccaul-meeks-introduce-legislation-to-hold-putin-accountable-for-potential-war-crimes/,"Washington, D.C. – This week, House Foreign Affairs Committee Lead Republican Michael McCaul (R-TX) and Chairman Gregory Meeks (D-NY) introduced H.R. 7276, the Ukraine Invasion War Crimes…"
Press Releases,03.29.22,McCaul Demands Answers from Admin on Russia Potentially Evading Sanctions Using Digital Assets,https://gop-foreignaffairs.house.gov/press-release/mccaul-demands-answers-from-admin-on-russia-potentially-evading-sanctions-using-digital-assets/,"Washington, D.C. – House Foreign Affairs Committee Lead Republican Michael McCaul sent a letter to Office of the Director of National Intelligence (ODNI) Director Haines requesting more information…"
