category,date,title,url,summary
Majority Press Releases,"February 04, 2022","Chairs DeFazio, Napolitano Announce Hearing on Stakeholder Priorities for WRDA 2022",https://transportation.house.gov/news/press-releases/chairs-defazio-napolitano-announce-hearing-on-stakeholder-priorities-for-wrda-2022,"Washington, DC - Today, Chair of the House Committee on Transportation and Infrastructure Peter DeFazio (D-OR) and Chair of the Subcommittee on Water Resources and Environment Grace F. Napolitano (D-CA) announced that the subcommittee will hold a hearing titled, ""Proposals for a Water Resources Development Act of 2022: Stakeholder Priorities.""During this hearing, members will hear from state and local officials, Tribal groups, and other stakeholders regarding priorities for a new Water … "
Majority Hearings,Feb 08 2022,,https://transportation.house.gov/committee-activity/hearings/proposals-for-a-water-resources-development-act-of-2022-stakeholder-priorities,
Majority Hearings,Feb 03 2022,,https://transportation.house.gov/committee-activity/hearings/finding-the-right-frequency-5g-deployment-and-aviation-safety,
Majority Hearings,Feb 02 2022,,https://transportation.house.gov/committee-activity/hearings/the-road-ahead-for-automated-vehicles,
Minority Press Releases,"February 4, 2022",ICYMI: WSJ Editorial Calls Out Biden’s “Highway Funding Bait-and-Switch”,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405768,
Minority Press Releases,"February 3, 2022",Ranking Members Sam Graves & Garret Graves Statements from Hearing on 5G Deployment & Aviation Safety,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405767,
Minority Press Releases,"February 2, 2022",Graves Requests Supply Chain Briefing from Biden Administration,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405762,
Minority Press Releases,"February 2, 2022",Davis Statement from Hearing on the Road Ahead for Automated Vehicles,https://republicans-transportation.house.gov/news/documentsingle.aspx?DocumentID=405764,
Majority Press Releases,"February 03, 2022","Chairs DeFazio, Larsen Statements from Subcommittee Hearing on 5G Deployment and its Effects on Aviation Safety",https://transportation.house.gov/news/press-releases/chairs-defazio-larsen-statements-from-subcommittee-hearing-on-5g-deployment-and-its-effects-on-aviation-safety,"Washington, D.C. - The following are opening remarks, as prepared for delivery, from Chair of the House Committee on Transportation and Infrastructure Peter DeFazio (D-OR) and Chair of the Subcommittee on Aviation Rick Larsen (D-WA) during today's hearing titled, ""Finding the Right Frequency: 5G Deployment & Aviation Safety.""Videos of DeFazio and Larsen's opening statements are here and here.More information on the hearing can be found here.Chair DeFazio:Thank you, Chair Larsen, … "
Majority Press Releases,"February 02, 2022","Chairs DeFazio, Norton Statements from Hearing on Automated Vehicles",https://transportation.house.gov/news/press-releases/chairs-defazio-norton-statements-from-hearing-on-automated-vehicles,"Washington, D.C. - The following are opening remarks, as prepared for delivery, from Chair of the House Committee on Transportation and Infrastructure Peter DeFazio (D-OR) and Chair of the Subcommittee on Highways and Transit Eleanor Holmes Norton (D-DC) during today's hearing titled, ""The Road Ahead for Automated Vehicles.""Video of DeFazio and Norton's opening statements are here and here.More information on the hearing can be found here.Chair DeFazio:Thank you, Madam Chair, for … "
Minority Hearings,"February 8, 2022",Proposals for a Water Resources Development Act of 2022: Stakeholder Priorities,https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405761,
Minority Hearings,"February 3, 2022",Finding the Right Frequency: 5G Deployment & Aviation Safety,https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405759,
Minority Hearings,"February 2, 2022",The Road Ahead for Automated Vehicles,https://republicans-transportation.house.gov/calendar/EventSingle.aspx?EventID=405760,
