category,date,title,url
Markups,"April 05, 2022","Full Committee Markup of H.R. 6845, H.R. 3952, H.R. 7077, H.R. 3588, H.R. 6933",https://science.house.gov/markups/full-committee-markup-of-hr-6845-hr-3952-hr-7077-hr-3588-hr-6933
Hearings,"April 06, 2022",SBIR Turns 40: Evaluating Support for Small Business Innovation,https://science.house.gov/hearings/sbir-turns-40-evaluating-support-for-small-business-innovation
Hearings,"March 31, 2022",The New Normal: Preparing for and Adapting to the Next Phase of COVID-19,https://science.house.gov/hearings/the-new-normal-preparing-for-and-adapting-to-the-next-phase-of-covid-19
Hearings,"March 30, 2022",Space Situational Awareness: Guiding the Transition to a Civil Capability,https://science.house.gov/hearings/space-situational-awareness-guiding-the-transition-to-a-civil-capability
News,"April 01, 2022",Chairwomen Johnson and Sherrill Congratulate NOAA Research Director Craig McLean on Retirement,https://science.house.gov/news/press-releases/chairwomen-johnson-and-sherrill-congratulate-noaa-research-director-craig-mclean-on-retirement
News,"March 30, 2022",Chairwoman Johnson Statement on the President’s Budget Request,https://science.house.gov/news/press-releases/chairwoman-johnson-statement-on-the-presidents-budget-request
