category,date,title,url,summary
Markups,"July 28, 2021",Markup - H.R. 935; H.R. 2265; H.R. 3332; H.R. 3555; H.R. 4590; H.R. 4616; H.R. 4617; H.R. 4618; H.R. 4619; H.R. 4620 and H.R. 4685,https://financialservices.house.gov/calendar/EventSingle.aspx?EventID=408113,Full Committee
Press Release,"July 30, 2021",House Republicans Block Emergency Legislation by Chairwoman Waters to Extend Federal Eviction Moratorium ,https://financialservices.house.gov/news/documentsingle.aspx?DocumentID=408277,"Today, Congresswoman Maxine Waters (D-CA), Chairwoman of the House Financial Services Committee, released a statement following Republican objections to the Majority Leader’s unanimous consent request to take up her bill, H.R. 4791, the “Protecting Renters from Evictions Act of 2021,” which would extend the federal eviction moratorium through the end of the year. “The eviction moratorium ends tomo... "
Hearings,"July 27, 2021",NAHASDA Reauthorization: Addressing Historic Disinvestment and the Ongoing Plight of the Freedmen in Native American Communities,https://financialservices.house.gov/calendar/EventSingle.aspx?EventID=408112,"Subcommittee on Housing, Community Development and Insurance"
Hearings,"July 27, 2021",The Promises and Perils of Central Bank Digital Currencies,https://financialservices.house.gov/calendar/EventSingle.aspx?EventID=408111,"Subcommittee on National Security, International Development and Monetary Policy"
Press Release,"July 30, 2021","Committee Passes Legislation to Advance Investor Protections, Support Manufactured Housing Communities, and Promote De Novo Depository Institutions",https://financialservices.house.gov/news/documentsingle.aspx?DocumentID=408262,"The House Financial Services Committee passed eleven bills to protect investors and reduce conflicts of interest born out of payment for order flow, support manufactured housing communities, fight for everyone’s right to vote, promote de novo depository institutions, and strengthen protections for the LIBOR transition. The following bills passed the Committee en bloc #1 by a vote of 28-23. Manufac... "
Press Release,"July 29, 2021",Waters Introduces Legislation to Extend Federal Eviction Moratorium to Keep Families Housed,https://financialservices.house.gov/news/documentsingle.aspx?DocumentID=408261,"Today, Congresswoman Maxine Waters (D-CA), Chairwoman of the House Financial Services Committee, released a statement following the introduction of her legislation, the “Protecting Renters from Evictions Act, of 2021,” that would extend the eviction moratorium through the end of the year. “The current eviction moratorium expires in two days, on July 31, putting millions of people at great risk of ... "
Press Release,"July 28, 2021",Waters Opening Statement at July Full Committee Markup,https://financialservices.house.gov/news/documentsingle.aspx?DocumentID=408259,"Today, Congresswoman Maxine Waters (D-CA), Chairwoman of the House Committee on Financial Services, gave the following opening statement at a full Committee hybrid markup. Since the start of the 117th Congress, this Committee has marked up 21 bills and has held five markups. Today, this Committee will mark up 11 more bills. As Chairwoman of this Committee, I am so very pleased to advance many stro... "
Press Release,"July 28, 2021",Waters on NAHASDA Reauthorization: This Fight Is About Fairness and Equality,https://financialservices.house.gov/news/documentsingle.aspx?DocumentID=408258,"Congresswoman Maxine Waters (D-CA), Chairwoman of the House Committee on Financial Services, gave the following statement at a Subcommittee on Housing, Community Development and Insurance hearing entitled, “NAHASDA Reauthorization: Addressing Historic Disinvestment and the Ongoing Plight of the Freedmen in Native American Communities.” Thank you, Chairman Cleaver, for convening this important hear... "
Press Release,"July 27, 2021",Waters on Central Bank Digital Currencies: It Is Vital That Our Central Bank Has Powerful Tools to Achieve Its Mandate,https://financialservices.house.gov/news/documentsingle.aspx?DocumentID=408256,"Today, Congresswoman Maxine Waters (D-CA), Chairwoman of the House Committee on Financial Services, gave the following statement at a Subcommittee on National Security, International Development and Monetary Policy hearing entitled, “The Promises and Perils of Central Bank Digital Currencies.” Thank you, Chairman Himes for hosting this hearing, part of a series that this Committee has been holding... "
Press Release,"July 27, 2021","Chairwoman Waters Meets with Secretary Yellen, Discusses Implementation of Rental Assistance ",https://financialservices.house.gov/news/documentsingle.aspx?DocumentID=408255,"Today, Congresswoman Maxine Waters (D-CA), Chairwoman of the House Committee on Financial Services, met with Treasury Secretary Janet Yellen to discuss a variety of important issues including the implementation of emergency rental assistance. “This morning, I met with Secretary Yellen to discuss my priorities and the many ways in which we can work together to ensure that our country is on a path t... "
