category,date,title,url
Markups,"Wed, 07/24/2019 - 10:00am","Full Committee Markup of H.R. 3597, H.R. 3607, H.R. 3609 and H.R. 335",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-3597-hr-3607-hr-3609-and-hr-335
Markups,"Wed, 07/10/2019 - 2:00pm","Subcommittee on Energy Markup of H.R. 3597, H.R. 3607, and H.R. 3609",https://republicans-science.house.gov/legislation/markups/subcommittee-energy-markup
Markups,"Thu, 06/20/2019 - 10:00am","Full Committee Markup of H.R. 2528, H.R. 36, H.R. 3196, H.R. 3153",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-2528-hr-36-hr-3196-hr-3153
Markups,"Wed, 05/01/2019 - 10:00am","Full Committee Markup of H.R. 34, H.R. 1237, H.R. 1716, H.R. 1921, H.R. 988 and H.R. 2397",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-34hr-1237-hr-1716-hr-1921-hr-988-and-hr
Markups,"Tue, 04/09/2019 - 2:00pm","Subcommittee on Environment Markup of H.R. 1237, H.R. 1716, H.R. 1921, AND H.R. 988",https://republicans-science.house.gov/legislation/markups/subcommittee-environment-markup-hr-1237-hr-1716-hr-1921-and-hr-988
Markups,"Wed, 03/27/2019 - 2:00pm","Subcommittee on Energy Markup of H.R. 34, The Energy and Water Research Integration Act of 2019",https://republicans-science.house.gov/legislation/markups/subcommittee-energy-markup-hr-34-energy-and-water-research-integration-act-2019
Markups,"Tue, 07/24/2018 - 2:00pm",Full Committee Markup ,https://republicans-science.house.gov/legislation/markups/full-committee-markup-6
Markups,"Wed, 07/18/2018 - 10:00am",Full Committee Markup ,https://republicans-science.house.gov/legislation/markups/full-committee-markup-5
Markups,"Wed, 06/27/2018 - 10:00am",Full Committee Markup ,https://republicans-science.house.gov/legislation/markups/full-committee-markup-4
Markups,"Wed, 05/23/2018 - 10:30am",Full Committee Markup ,https://republicans-science.house.gov/legislation/markups/full-committee-markup-3
Markups,"Tue, 04/17/2018 - 10:00am",Full Committee Markup of H.R. 5503 and H.R. 5509,https://republicans-science.house.gov/legislation/markups/full-committee-markup-2
Markups,"Thu, 03/22/2018 - 9:00am",Full Committee Markup ,https://republicans-science.house.gov/legislation/markups/full-committee-markup-1
Markups,"Wed, 01/10/2018 - 10:00am","Full Committee Markup- H.R. 4675, the “Low Dose Radiation Research Act of 2017”",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-4675-low-dose-radiation-research-act-2017
Markups,"Wed, 11/15/2017 - 10:00am",Full Committee Markup,https://republicans-science.house.gov/legislation/markups/full-committee-markup-0
Markups,"Thu, 09/28/2017 - 9:00am","Full Committee Markup- H.R. 1159, the ""United States and Israel Space Cooperation Act""",https://republicans-science.house.gov/legislation/markups/full-committee-markup-united-states-and-israel-space-cooperation-act
Markups,"Thu, 06/22/2017 - 10:00am",Full Committee Markup-  Small Business Innovation Research and Small Business Technology Transfer Improvements Act of 2017,https://republicans-science.house.gov/legislation/markups/full-committee-markup-small-business-innovation-research-and-small-business
Markups,"Thu, 06/08/2017 - 1:30pm",Full Committee Markup - American Space Commerce Free Enterprise Act of 2017,https://republicans-science.house.gov/legislation/markups/full-committee-markup-american-space-commerce-free-enterprise-act-2017
Markups,"Tue, 05/02/2017 - 10:00am",Full Committee Markup - NIST Small Business Cybersecurity Act of 2017,https://republicans-science.house.gov/legislation/markups/full-committee-markup-nist-small-business-cybersecurity-act-2017
Markups,"Thu, 03/09/2017 - 9:30am","Full Committee Markup- H.R. 1430, the “Honest and Open New EPA Science Treatment Act of 2017” (HONEST Act), and H.R. 1431, the “EPA Science Advisory Board Reform Act of 2017”",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-honest-and-open-new-epa-science-treatment-act-2017
Markups,"Wed, 03/01/2017 - 10:00am","Full Committee Markup - H.R. 1224, the “NIST Cybersecurity Framework, Assessment, and Auditing Act of 2017”",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-nist-cybersecurity-framework-assessment-and-auditing
Markups,"Tue, 02/07/2017 - 10:00am",Full Committee Business Meeting - Adoption of Committee Rules and Approval of Oversight Plan,https://republicans-science.house.gov/legislation/markups/full-committee-business-meeting-adoption-committee-rules-and-approval-0
Markups,"Wed, 09/21/2016 - 1:00pm","Full Committee Markup - H.R. 6076, the “To Research, Evaluate, Assess, and Treat Astronauts Act” (TREAT Astronauts Act); H.R. 6066, the “Cybersecurity Responsibility and Accountability Act of 2016”; and  H.R. 5829, the “ADVISE Now Act”",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-research-evaluate-assess-and-treat-astronauts-act-treat
Markups,"Thu, 07/07/2016 - 2:00pm","Full Committee Markup - “Solar Fuels Innovation Act”, “Electricity Storage Innovation Act”, “National Institute of Standards and Technology Campus Security Act”",https://republicans-science.house.gov/legislation/markups/full-committee-markup-solar-fuels-innovation-act-electricity-storage-innovation
Markups,"Wed, 05/25/2016 - 10:15am","Markup of H.R. 5312, the “Networking and Information Technology Research and Development Modernization Act of 2016”",https://republicans-science.house.gov/legislation/markups/markup-hr-5312-networking-and-information-technology-research-and-development
Markups,"Tue, 05/24/2016 - 10:00am","Full Committee Markup - H.R. ____, the “Networking and Information Technology Research and Development Modernization Act of 2016”",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-networking-and-information-technology-research-and
Markups,"Wed, 04/27/2016 - 10:00am","Full Committee Markup - H.R. 5049, the “NSF Major Research Facility Reform Act of 2016”",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-nsf-major-research-facility-reform-act-2016
Markups,"Thu, 02/11/2016 - 1:00pm",Full Committee Markup - H.R.4489 - FAA Leadership In Groundbreaking High-Tech Research and Development Act,https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-faa-leadership-groundbreaking-high-tech-research-and
Markups,"Tue, 01/12/2016 - 10:00am","Full Committee Markup - H.R. 4084, the “Nuclear Energy Innovation Capabilities Act”",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-4084-nuclear-energy-innovation-capabilities-act
Markups,"Thu, 10/08/2015 - 10:00am",Full Committee Markup - H.R. 3033 and H.R. 3293,https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-3033-and-hr-3293
Markups,"Thu, 09/10/2015 - 2:30pm",Subcommittee on Research and Technology Markup - H.R.____ and H.R. 2886,https://republicans-science.house.gov/legislation/markups/subcommittee-research-and-technology-markup-hr-and-hr-2886
Markups,"Wed, 05/13/2015 - 2:00pm",Full Committee Markup - H.R. 2262; H.R. 1508; H.R. 2261; and H.R. 2263,https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-2262-hr-1508-hr-2261-and-hr-2263
Markups,"Thu, 04/30/2015 - 11:00am","Full Committee Markup - H.R. 2039, the National Aeronautics and Space Administration Authorization Act for 2016 and 2017",https://republicans-science.house.gov/legislation/markups/full-committee-markup-hr-2039-national-aeronautics-and-space-administration
Markups,"Wed, 04/22/2015 - 10:15am","H.R. 1806, the America COMPETES Reauthorization Act of 2015",https://republicans-science.house.gov/legislation/markups/hr-1806-america-competes-reauthorization-act-2015
Markups,"Wed, 03/25/2015 - 9:00am",Full Committee Markup - The Weather Research and Forecast Innovation Act of 2015,https://republicans-science.house.gov/legislation/markups/full-committee-markup-weather-research-and-forecast-innovation-act-2015
